EVTOPTA_CM_4013;Spare me your lamentations!;;;;;;;;;;;Èçáàâüòå ìåíÿ îò ñâîèõ ñòåíàíèé!;;x
EVTDESC_SoA_2863;My husband, [FromFrom.GetName], has gone off to join the [FromFrom.Liege.PrimaryTitle.GetName]. This effectively annuls our marriage...;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetHusbandWife] [From.GetName] ðåøèë[From.GetEndA] âñòóïèòü â [From.Liege.PrimaryTitle.GetName], è òåì ñàìûì àííóëèðîâàë[From.GetEndA] íàø áðàê...;;x
EVTDESC_SOA_2990;I can expel the Holy Order to finally be rid of them from my realm! But I must be sure of this. Once expelled, I will not be able to allow them back.;;;;;;;;;;;ß ìîãó èçãíàòü äóõîâíûé îðäåí, ÷òîáû èçáàâèòü îò íåãî ñâîþ ñòðàíó, íî ÿ äîëæ[Root.GetNaEn] áûòü ïîëíîñòüþ óâåðåí[Root.GetEndA]. Îäíàæäû èçãíàâ èõ, ÿ óæå íå ñìîãó âåðíóòü èõ îáðàòíî.;;x
EVTOPTA_SOA_1003;Very well, it's a good life;;;;;;;;;;;×òî æ, ýòî äîñòîéíàÿ è õîðîøàÿ æèçíü.;;x
EVTOPTA_SOA_1023;A reasonable request;;;;;;;;;;;Ðàçóìíàÿ ïðîñüáà.;;x
EVTOPTA_SOA_1024;Impressive!;;;;;;;;;;;Âïå÷àòëÿþùå!;;x
EVTOPTA_SOA_1031;Go with my blessing.;;;;;;;;;;;Áëàãîñëîâëÿþ òåáÿ.;;x
EVTOPTA_SOA_1209;They could be useful...;;;;;;;;;;;Îíè ìîãóò áûòü ïîëåçíû...;;x
EVTOPTA_SOA_1609;A laudable goal!;;;;;;;;;;;Äîñòîéíàÿ öåëü!;;x
EVTOPTA_SOA_1709;These knights can finally fulfill their vows.;;;;;;;;;;;Íàêîíåö-òî ýòè ðûöàðè ñìîãóò èñïîëíèòü ñâîè îáåòû.;;x
EVTOPTA_SOA_1809;The legendary warriors have returned!;;;;;;;;;;;Ëåãåíäàðíûå âîèíû âåðíóëèñü!;;x
EVTOPTA_SOA_1909;Any defense of Judaism is welcome.;;;;;;;;;;;Ëþáàÿ çàùèòà èóäàèçìà òîëüêî ïðèâåòñòâóåòñÿ.;;x
EVTOPTA_SOA_2009;Let them ride forward in the name of the Sky-Father!;;;;;;;;;;;Âïåð¸ä, ñâÿòûå âñàäíèêè! Ñ íàìè Îòåö-Íåáî!;;x
EVTOPTA_SOA_2109;The Spirits be praised!;;;;;;;;;;;Ñëàâà Äóõàì!;;x
EVTOPTA_SOA_2209;May the enemies of Perun quake in their boots!;;;;;;;;;;;Çà Ïåðóíà! Ïóñòü äðîæàò íàøè âðàãè!;;x
EVTOPTA_SOA_2309;Like a thunderbolt, they shall strike down their foes!;;;;;;;;;;;Îíè ñðàçÿò âðàãîâ, êàê óäàð ìîëíèè!;;x
EVTOPTA_SOA_2409;They are like the heroes of myth!;;;;;;;;;;;Äðåâíèå ãåðîè âåðíóëèñü!;;x
EVTOPTA_SOA_2509;May their sacrifices be many and gruesome.;;;;;;;;;;;Ïóñòü èõ æåðòâû áóäóò îáèëüíû è óæàñíû.;;x
EVTOPTA_SOA_2609;Brave warriors of Christ!;;;;;;;;;;;Õðàáðûå âîèíû Õðèñòà!;;x
EVTOPTA_SOA_2709;May their battles end in victory!;;;;;;;;;;;Ïóñòü èõ áèòâû îáåðíóòñÿ ïîáåäàìè!;;x
EVTOPTA_SOA_2990;Drive them all out!;;;;;;;;;;;Ñêàòåðòüþ äîðîãà!;;x
EVTOPTB_SOA_1003;Pay them back instead;;;;;;;;;;;ß ïðåäïî÷òó âåðíóòü äîëã.;;x
EVTOPTB_SOA_1031;Absolutely not!;;;;;;;;;;;Íè çà ÷òî!;;x
EVTOPTB_SOA_1061;Good Riddance!;;;;;;;;;;;Ñêàòåðòüþ äîðîãà!;;x
EVTOPTB_SOA_1153;No, that region is mine;;;;;;;;;;;Íåò, ýòî ìîÿ çåìëÿ.;;x
EVTOPTB_SOA_1209;Mystic Soldiers? Pah!;;;;;;;;;;;Ìèñòè÷åñêèå âîèíû? Òüôó!;;x
EVTOPTB_SOA_1353;No, that region is mine;;;;;;;;;;;Íåò, ýòî ìîÿ çåìëÿ.;;x
EVTOPTB_SOA_1553;No, that region is mine;;;;;;;;;;;Íåò, ýòî ìîÿ çåìëÿ.;;x
EVTOPTB_SOA_1609;These clerics should stay in their monestaries.;;;;;;;;;;;Ýòè ñâÿùåííèêè äîëæíû îñòàòüñÿ â ñâîèõ ìîíàñòûðÿõ.;;x
EVTOPTB_SOA_1709;Saint who?;;;;;;;;;;;Ñâÿòîãî êîãî?;;x
EVTOPTB_SOA_1809;Immortals? Pah, relics of the past.;;;;;;;;;;;Áåññìåðòíûå? Ïôô, ðåëèêòû ïðîøëîãî.;;x
EVTOPTB_SOA_1909;Radicals and extremists, the whole lot!;;;;;;;;;;;Øàéêà ýêñòðåìèñòîâ!;;x
EVTOPTB_SOA_2009;What will these barbarians think of next?;;;;;;;;;;;×òî åù¸ âûäóìàþò ýòè âàðâàðû?;;x
EVTOPTB_SOA_2609;Worrying...;;;;;;;;;;;Òðåâîæíî...;;x
EVTOPTB_SOA_2709;More sheep to the slaughter!;;;;;;;;;;;Íîâûå îâöû íà çàêëàíèå...;;x
EVTOPTB_SOA_2990;I'll permit them to stay. For now.;;;;;;;;;;;Ïîçâîëþ èì îñòàòüñÿ. Ïîêà...;;x
EVTOPTC_SOA_1003;Never!;;;;;;;;;;;Íèêîãäà!;;x
EVTTITLE_SOA_1209;The Bektashi Order;;;;;;;;;;;Oðäåí Áåêòàøè;;x
EVTTITLE_SOA_1609;Brotherhood of the Holy Sepulchre;;;;;;;;;;;Oðäåí Ãðîáà Ãîñïîäíÿ;;x
EVTTITLE_SOA_1709;The Order of Saint Anthony;;;;;;;;;;;Oðäåí Ñâÿòîãî Àíòîíèÿ;;x
EVTTITLE_SOA_1809;The Immortals;;;;;;;;;;;Oðäåí Áåññìåðòíûõ;;x
EVTTITLE_SOA_1909;The Zealots;;;;;;;;;;;Oðäåí Çåëîòîâ;;x
EVTTITLE_SOA_2009;The Lords of the Sky;;;;;;;;;;;Håáåñíûå âñàäíèêè;;x
EVTTITLE_SOA_2109;The Spirit Guardians;;;;;;;;;;;Oðäåí Äóõîâíûõ Õðàíèòåëåé;;x
EVTTITLE_SOA_2209;The Warriors of Perun;;;;;;;;;;;Bîèíû Ïåðóíà;;x
EVTTITLE_SOA_2309;The Chosen of Perkunas;;;;;;;;;;;Oðäåí Èçáðàííèêîâ Ïåðêóíàñà;;x
EVTTITLE_SOA_2409;The Sons of Kaleva;;;;;;;;;;;Cûíîâüÿ Êàëåâû;;x
EVTTITLE_SOA_2509;The Cult of Huitzilopochtli;;;;;;;;;;;Kóëüò Óèöèëîïî÷òëè;;x
EVTTITLE_SOA_2609;The Knights of Santiago;;;;;;;;;;;Pûöàðè Ñàíòüÿãî;;x
EVTTITLE_SOA_2709;The Knights of Calatrava;;;;;;;;;;;Pûöàðè Êàëàòðàâû;;x
EVTTITLE_SOA_2809;The Order of Saint Addai;;;;;;;;;;;Îðäåí Ñâÿòîãî Ôàääåÿ;;x
EVTTOOLTIP_SOA_1032;[From.GetTitledFirstName] becomes a Knight Templar.;;;;;;;;;;;[This.GetTitledFirstName] òåïåðü Ðûöàðü Òàìïëèåð.;;x
EVTTOOLTIP_SOA_1033;[From.GetTitledFirstName] is disappointed.;;;;;;;;;;;[This.GetTitledFirstName] ðàçî÷àðîâàí.;;x
EVTTOOLTIP_SOA_1132;[From.GetTitledFirstName] becomes a Knight Hospitaller.;;;;;;;;;;;[This.GetTitledFirstName] òåïåðü Ðûöàðü Ãîñïèòàëüåð.;;x
EVTTOOLTIP_SOA_1232;[From.GetTitledFirstName] joins the Bektashi Order.;;;;;;;;;;;[This.GetTitledFirstName] âñòóïàåò â îðäåí Áåêòàøè.;;x
EVTTOOLTIP_SOA_1332;[From.GetTitledFirstName] joins the Teutonic Order.;;;;;;;;;;;[This.GetTitledFirstName] âñòóïàåò â Òåâòîíñêèé îðäåí.;;x
EVTTOOLTIP_SOA_1432;[From.GetTitledFirstName] joins the Hashshashins.;;;;;;;;;;;[This.GetTitledFirstName] ïðèñîåäèíÿåòñÿ ê Õàøàøèíàì.;;x
EVTTOOLTIP_SOA_1532;[From.GetTitledFirstName] becomes a Jomsviking.;;;;;;;;;;;[This.GetTitledFirstName] ñòàíåò Éîìñâèêèíãîì.;;x
EVTTOOLTIP_SOA_1632;[From.GetTitledFirstName] becomes a member of the Brotherhood.;;;;;;;;;;;[This.GetTitledFirstName] âñòóïàåò â áðàòñòâî.;;x
EVTTOOLTIP_SOA_1732;[From.GetTitledFirstName] becomes a Knight of Saint Anthony.;;;;;;;;;;;[This.GetTitledFirstName] òåïåðü Ðûöàðü Ñâÿòîãî Àíòîíèÿ.;;x
EVTTOOLTIP_SOA_1832;[From.GetTitledFirstName] becomes an Immortal.;;;;;;;;;;;[This.GetTitledFirstName] òåïåðü Áåññìåðòíûé.;;x
EVTTOOLTIP_SOA_1932;[From.GetTitledFirstName] becomes a Zealot.;;;;;;;;;;;[This.GetTitledFirstName] òåïåðü Çåëîò.;;x
EVTTOOLTIP_SOA_2032;[From.GetTitledFirstName] becomes a Sky Lord.;;;;;;;;;;;[This.GetTitledFirstName] òåïåðü Íåáåñíûé âñàäíèê.;;x
EVTTOOLTIP_SOA_2132;[From.GetTitledFirstName] becomes a Spirit Guardian.;;;;;;;;;;;[This.GetTitledFirstName] òåïåðü Äóõîâíûé Õðàíèòåëü.;;x
EVTTOOLTIP_SOA_2232;[From.GetTitledFirstName] becomes a Warrior of Perun.;;;;;;;;;;;[This.GetTitledFirstName] òåïåðü Âîèí Ïåðóíà.;;x
EVTTOOLTIP_SOA_2332;[From.GetTitledFirstName] becomes a Chosen of Perkunas.;;;;;;;;;;;[This.GetTitledFirstName] òåïåðü Èçáðàííèê Ïåðêóíàñà.;;x
EVTTOOLTIP_SOA_2432;[From.GetTitledFirstName] becomes a Son of Kaleva.;;;;;;;;;;;[This.GetTitledFirstName] òåïåðü Ñûí Êàëåâû.;;x
EVTTOOLTIP_SOA_2532;[From.GetTitledFirstName] becomes a member of the Cult of Huitzilopochtli.;;;;;;;;;;;[This.GetTitledFirstName] òåïåðü ÷ëåí êóëüòà Óèöèëîïî÷òëè.;;x
EVTTOOLTIP_SOA_2632;[From.GetTitledFirstName] becomes a Knight of Santiago.;;;;;;;;;;;[This.GetTitledFirstName] òåïåðü Ðûöàðü Ñàíòüÿãî.;;x
EVTTOOLTIP_SOA_2732;[From.GetTitledFirstName] becomes a Knight of Calatrava.;;;;;;;;;;;[This.GetTitledFirstName] òåïåðü Ðûöàðü Êàëàòðàâû.;;x
EVTTOOLTIP_SOA_2832;[From.GetTitledFirstName] becomes a Knight of Saint Addai.;;;;;;;;;;;[This.GetTitledFirstName] ñòàë[This.GetEndA] Ðûöàðåì Ñâÿòîãî Ôàääåÿ.;;x
HOLY_ORDER_BORROW_ALT;Most virtuous [Root.GetTitledFirstName], of course we can lend you 300 gold. All that we ask in return is your future assistance in certain matters as they might arise. May [target_grandmaster.Religion.GetHighGodName] bless you,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], êîíå÷íî, ìû ìîæåì îäîëæèòü Âàì 300 çîëîòûõ. Âñ¸, ÷òî ìû ïðîñèì âçàìåí - Âàøà áóäóùàÿ ïîìîùü â íåêîòîðûõ âîïðîñàõ ïî ìåðå èõ âîçíèêíîâåíèÿ. Äà áëàãîñëîâèò Âàñ [From.Religion.GetHighGodName].\n\nÂåëèêèé ìàãèñòð [From.GetTitledFirstName];;x
HOLY_ORDER_BUILD_CASTLE_ALT;My dear [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. I am willing to cancel your debt to us if you will simply allow us to build a castle in [target_province.GetName]. May [target_grandmaster.Religion.GetHighGodName] bless you,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], îðäåí íóæäàåòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè. ß ïîâåëþ ïðîñòèòü âñå Âàøè äîëãè îðäåíó â ñëó÷àå, åñëè Âû ïîçâîëèòå íàì ïîñòðîèòü çàìîê â ìåñòå ïîä íàçâàíèåì [FromFrom.GetName]. Äà áëàãîñëîâèò Âàñ [From.Religion.GetHighGodName].\n\nÂåëèêèé ìàãèñòð [From.GetTitledFirstName];;x
HOLY_ORDER_BUILD_CASTLE_FOR_MONEY_ALT;Most righteous [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nMay [From.Religion.GetHighGodName] bless you,\n\nGrand Master [From.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], îðäåí íóæäàåòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè. ß îáðàòèë[From.GetEndA] âíèìàíèå, ÷òî â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü. Äà áëàãîñëîâèò Âàñ [From.Religion.GetHighGodName].\n\n\nÂåëèêèé ìàãèñòð [From.GetTitledFirstName];;x
HOLY_ORDER_CONSTRUCTION_COMPLETE_ALT;The Holy Order has constructed a castle in [Root.GetName]!;;;;;;;;;;;Äóõîâíûé îðäåí ïîñòðîèë çàìîê â îêðóãå [Root.GetName]!;;x
HOLY_ORDER_DEMAND_SON_ALT;Most righteous [Root.GetTitledFirstName], I have a humble request for you in light of your debt to us. There is no rest in our defense against the infidel and we have desperate need of knights to lead our men. Thus, I would like to extend this opportunity to your able and noble son [demanded_child.GetFirstName] to serve in our ranks. Naturally, this would disinherit him. May [target_grandmaster.Religion.GetHighGodName] bless you,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ìèð Âàì. Êàê Âû íàâåðíîå çíàåòå, íàø îðäåí íóæäàåòñÿ â ëèäåðàõ, è, ó÷èòûâàÿ Âàø äîëã ïåðåä íàìè, ÿ áû ïðåäïî÷[From.GetLaYol] ïîïðîñèòü, ÷òîáû Âàø áëàãîðîäíûé ñûí [FromFrom.GetFirstName] âñòóïèë â íàøè ðÿäû. Ðàçóìååòñÿ, ýòî èñêëþ÷èò åãî èç ëèíèè íàñëåäîâàíèÿ. Äà áëàãîñëîâèò Âàñ [From.Religion.GetHighGodName].\n\nÂåëèêèé ìàãèñòð [From.GetTitledFirstName];;x
HOLY_ORDER_DONATE_MONEY_ALT;Your Highness, this extremely generous donation will not be forgotten. You have my friendship, as well as that of the Church. Rest assured that you will be rewarded in the Afterlife, if not on Earth!\nMay [target_grandmaster.Religion.GetHighGodName] bless you,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñòîëü ùåäðûé äàð íå áóäåò çàáûò. Âû ìîæåòå ðàññ÷èòûâàòü íà ìîþ äðóæáó è ïîääåðæêó îðäåíà. Áóäüòå óâåðåíû, Âàì âîçäàñòñÿ íà Íåáåñàõ, åñëè íå íà Çåìëå! Äà áëàãîñëîâèò Âàñ [From.Religion.GetHighGodName]!\n\nÂåëèêèé ìàãèñòð [From.GetTitledFirstName];;x
HOLY_ORDER_EXPEL_ALT;Your majesty, this antagonism is completely unwarranted! The Order serves [target_grandmaster.Religion.GetHighGodName], but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [target_grandmaster.GetFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ïîäîáíûé àíòàãîíèçì ñîâåðøåííî íåîïðàâäàí! Îðäåí ñëóæèò [From.GetReligionHighGodDAT], íî ñòîèò çàäàòüñÿ âîïðîñîì - ñëóæèòå ëè [From.GetHGodHerHimCap] Âû?\nÂ ãíåâå è ïå÷àëè,\nÂåëèêèé ìàãèñòð [From.GetFirstName];;x
expelling_holy_order_decision_tooltip_b;Expel the Holy Order from the realm.;;;;;;;;;;;Èçãíàòü äóõîâíûé îðäåí èç ñòðàíû.;;x
expelling_holy_order_event_tooltip_a;Expel the Holy Order and confiscate any land they have within the realm;;;;;;;;;;;Èçãíàòü äóõîâíûé îðäåí è êîíôèñêîâàòü åãî çåìëè è ñîáñòâåííîñòü;;x
expelling_holy_order_event_tooltip_b;Allow the Holy Order to remain within the realm;;;;;;;;;;;Ïîçâîëèòü äóõîâíîìó îðäåíó îñòàâàòüñÿ â ñòðàíå;;x
PAGAN_HOLY_ORDER_FORMED_ALT;In the wake of the recent reformation a new Holy Order has been born. Hundreds of zealots already flock to its banners, ready to do war in defense of their faith.;;;;;;;;;;;Â îòâåò íà ðåëèãèîçíóþ ðåôîðìàöèþ ïîÿâèëñÿ íîâûé äóõîâíûé îðäåí. Ñîòíè íàáîæíûõ âîèíîâ ñòåêàþòñÿ ïîä åãî çíàì¸íà, ãîòîâûå ñðàæàòüñÿ çà ñâîþ âåðó.;;x
