#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTTITLEHF25200;The Arm-wrestling Challenge;;;;;;;;;;;Àðìðåñòëèíã;;x
TT_EVTOPTAHF25218;Approach §Y[From.GetTitledFirstName]§! and declare your feelings for [From.GetHerHim].;;;;;;;;;;;Ïóñòü §Y[From.GetTitledFirstName]§! óçíàåò î òîì, ÷òî Âû ÷óâñòâóåòå ïî îòíîøåíèþ ê í[From.GetHerHim].;;x
TT_EVTOPTAHF25222;Approach §Y[From.GetTitledFirstName]§!, offering [From.GetHerHim] your friendship.;;;;;;;;;;;Ïðåäëîæèòü [From.GetHerHim] ñâîþ äðóæáó.;;x
TT_EVTOPTAHF25230;Your fellow §YWarriors§! will remember this.;;;;;;;;;;;Âàøè §Yñîðàòíèêè ïî âîèíñêîé ëîæå§! çàïîìíÿò ýòî.;;x
TT_EVTOPTAHF25232;Your fellow §YWarriors§! will remember this.;;;;;;;;;;;Âàøè §Yñîðàòíèêè ïî âîèíñêîé ëîæå§! çàïîìíÿò ýòî.;;x
TT_EVTOPTAHF25250;Challenge §Y[flyting_potential_opponent_1.GetTitledFirstName]§! to a contest of dialectics.;;;;;;;;;;;§Y[flyting_potential_opponent_1.GetTitledFirstName]§! ñòàíåò Âàøèì îïïîíåíòîì âî §Yôëèòèíãå§! - ñëîâåñòíîì ñîñòÿçàíèè.;;x
TT_EVTOPTAHF25251;Accept §Y[From.GetTitledFirstName]§!'s challenge and begin the §YFlyting§!.;;;;;;;;;;;Ïðèíÿòü [From.GetHersHis] âûçîâ íà §Yôëèòèíã§! - òðàäèöèîííóþ ïåðåáðàíêó.;;x
TT_EVTOPTAHF25263;§Y[From.GetTitledFirstName]§! might challenge you to a §YDuel§! for insulting [From.GetHerHim].;;;;;;;;;;;§Y[From.GetTitledFirstName]§! ìîæåò âûçâàòü Âàñ íà §Yïîåäèíîê§! çà ýòî îñêîðáëåíèå.;;x
TT_EVTOPTAHF25268;The other warriors laugh at you as you storm out.;;;;;;;;;;;Äðóãèå âîèíû ñìåþòñÿ íàä Âàìè.;;x
TT_EVTOPTAHF25269;The other warriors mock you for your pettiness as you storm out.;;;;;;;;;;;Äðóãèå âîèíû íàñìåõàþòñÿ íàä Âàøåé ìåëî÷íîñòüþ.;;x
TT_EVTOPTAHF25281;Accept §Y[From.GetFirstName]§!'s challenge.;;;;;;;;;;;Ïðèíÿòü âûçîâ.;;x
TT_EVTOPTAHF25283;You keep track of the contenders and wait for the winner.;;;;;;;;;;;Ñëåäèòü çà ó÷àñòíèêàìè ñîñòÿçàíèÿ â îæèäàíèè ïîáåäèòåëÿ.;;x
TT_EVTOPTAHF25284;You begin drinking.;;;;;;;;;;;Íà÷àòü ïèòü.;;x
TT_EVTOPTAHF25288;Try spilling most of your drink at each new round.;;;;;;;;;;;Âû ïîïûòàåòåñü íåçàìåòíî ïðîëèâàòü ÷àñòü âûïèâêè â êàæäîì ðàóíäå.;;x
TT_EVTOPTAHF25289;Ignore §Y[From.GetFirstName]§! cheating.;;;;;;;;;;;Èãíîðèðîâàòü òîò ôàêò, ÷òî §Y[From.GetFirstName]§! æóëüíè÷àåò.;;x
TT_EVTOPTAHF25290;Your fellow warriors will remember your slight.;;;;;;;;;;;Ñîðàòíèêè çàïîìíÿò î Âàøåé ñëàáîñòè.;;x
TT_EVTOPTBHF25200;Challenge §Y[arm_wrestling_opponent_2.GetTitledFirstName]§! to an arm-wrestling match.;;;;;;;;;;;Ïóñòü §Y[arm_wrestling_opponent_2.GetTitledFirstName]§! ñðàçèòñÿ ñ Âàìè.;;x
TT_EVTOPTBHF25201;Refuse §Y[From.GetTitledFirstName]§!'s challenge.\nYour fellow §YWarriors§! will remember this cowardly act.;;;;;;;;;;;Îòêàçàòüñÿ ïðèíÿòü âûçîâ, êîòîðûé §Y[From.GetTitledFirstName]§! Âàì áðîñèë[From.GetEndA].\nÂàøè §Yñîðàòíèêè ïî âîèíñêîé ëîæå§! çàïîìíÿòü ýòî êàê òðóñîñòü.;;x
TT_EVTOPTBHF25250;Challenge §Y[flyting_potential_opponent_2.GetTitledFirstName]§! to a contest of dialectics.;;;;;;;;;;;§Y[flyting_potential_opponent_2.GetTitledFirstName]§! ñòàíåò Âàøèì îïïîíåíòîì âî §Yôëèòèíãå§! - ñëîâåñòíîì ñîñòÿçàíèè.;;x
TT_EVTOPTBHF25288;Focus your energies entirely on winning the match.;;;;;;;;;;;Ñîñðåäîòî÷èòü âñå ñâîè ñèëû íà ïîáåäå â ñîñòÿçàíèè.;;x
TT_EVTOPTBHF25289;Expose §Y[From.GetFirstName]§!.;;;;;;;;;;;Ðàçîáëà÷èòü [From.GetHersHis].;;x
TT_EVTOPTCHF25200;Challenge §Y[arm_wrestling_opponent_3.GetTitledFirstName]§! to an arm-wrestling match.;;;;;;;;;;;Ïóñòü §Y[arm_wrestling_opponent_3.GetTitledFirstName]§! ñðàçèòñÿ ñ Âàìè.;;x
TT_EVTOPTCHF25229;Throw the die.;;;;;;;;;;;Áðîñèòü êîñòü.;;x
TT_EVTOPTCHF25250;Challenge §Y[flyting_potential_opponent_3.GetTitledFirstName]§! to a contest of dialectics.;;;;;;;;;;;§Y[flyting_potential_opponent_3.GetTitledFirstName]§! ñòàíåò Âàøèì îïïîíåíòîì âî §Yôëèòèíãå§! - ñëîâåñòíîì ñîñòÿçàíèè.;;x
TT_DIE_TABLE_BUMP_DISCOVERED;the other warriors noticing that you are trying to cheat.;;;;;;;;;;;äðóãèå âîèíû îáíàðóæàò, ÷òî Âû ïûòàåòåñü ñìóõëåâàòü.;;x
TT_DIE_TABLE_BUMP_FAILS;being unable to push the die properly.;;;;;;;;;;;íå ïîëó÷èòñÿ ïðàâèëüíî áðîñèòü êîñòü.;;x
TT_DIE_TABLE_BUMP_WINS;your trick working.;;;;;;;;;;;âàø òðþê ñðàáîòàåò.;;x
TT_FAKE_DIE_DISCOVERED;your trick being discovered.;;;;;;;;;;;âàø òðþê áóäåò ðàçîáëà÷¸í.;;x
TT_FAKE_DIE_WINS;you successfully tricking the other warriors.;;;;;;;;;;;âàì óñïåøíî óäàñòñÿ îáìàíóòü äðóãèõ âîèíîâ.;;x
TT_FLYTING_INSULT_AVERAGE_REACTION;You hear the crowd snickering at you.;;;;;;;;;;;Òîëïà õèõèêàåò.;;x
TT_FLYTING_INSULT_LOST_PATIENCE_REACTION;You lose your patience.;;;;;;;;;;;Âû òåðÿåòå òåðïåíèå.;;x
TT_FLYTING_INSULT_MILD_REACTION;[From.GetFirstName]'s words barely affect you.;;;;;;;;;;;[From.GetHersHis] ñëîâà íå áåñïîêîÿò Âàñ.;;x
TT_FLYTING_INSULT_POOR_REACTION;The crowd laughs at you.;;;;;;;;;;;Òîëïà ñìå¸òñÿ íàä Âàìè.;;x
TT_FLYTING_INSULTING_ACCOMPLISHMENTS;Insult §Y[From.GetFirstName]§!'s accomplishments.\nThis line of insults tends to be more effective against §YAmbitious§! and §YProud§! opponents.;;;;;;;;;;;Âûáðàòü öåëüþ îñêîðáëåíèé [From.GetHersHis] äîñòèæåíèÿ.\nÝôôåêò áóäåò áîëüøå, åñëè §Y[From.GetTitledFirstName]§! §Yàìáèöèîçí[From.GetAyaYy]§! èëè §Yãîðä[From.GetAyaYy]§!.;;x
TT_FLYTING_INSULTING_CHARACTER;Insult §Y[From.GetFirstName]§!'s character.\nThis line of insults tends to be more effective against §YEnvious§! and §YShy§! opponents.;;;;;;;;;;;Ïîïûòàòüñÿ îñêîðáèòü [From.GetHersHis] ëè÷íîñòü.\nÝôôåêò áóäåò áîëüøå, åñëè §Y[From.GetTitledFirstName]§! §Yçàâèñòëèâ[From.GetAyaYy]§! èëè §Yçàñòåí÷èâ[From.GetAyaYy]§!.;;x
TT_FLYTING_INSULTING_FAMILY;Insult §Y[From.GetFirstName]§!'s family.\nThis line of insults tends to be more effective against §YKind§! opponents.;;;;;;;;;;;Ïîïûòàòüñÿ îñêîðáèòü [From.GetHersHis] ñåìüþ.\nÝôôåêò áóäåò áîëüøå, åñëè §Y[From.GetTitledFirstName]§! §Yäîáð[From.GetAyaYy]§!.;;x
TT_FLYTING_INSULTING_PROWESS;Insult §Y[From.GetFirstName]§!'s prowess.\nThis line of insults tends to be more effective towards §YLustful§! opponents.;;;;;;;;;;;Ïîïûòàòüñÿ îñêîðáèòü [From.GetHersHis] äîñòîèíñòâî.\nÝôôåêò áóäåò áîëüøå, åñëè §Y[From.GetTitledFirstName]§! §Yïîõîòëèâ[From.GetAyaYy]§!.;;x
TT_FLYTING_OPPONENT_REACTS;§Y[From.GetTitledFirstName]§! reacts to your attack.;;;;;;;;;;;§Y[From.GetTitledFirstName]§! îòðåàãèðóåò íà Âàø âûïàä.;;x
TOOLTIP_EVTOPTDHF25205;Try to increase your chances by cheating.;;;;;;;;;;;Ñìóõëåâàòü, òåì ñàìûì óëó÷øèâ ñâîè øàíñû íà ïîáåäó.;;x
tooltip_EVTOPTYHF25230;Start a §YDuel§! with §Y[random_society_winner.GetFirstName]§! to avoid paying your debt.;;;;;;;;;;;Âñòóïèòü â §Yïîåäèíîê§! ñ [random_society_winner.GetAgedPersonINS] ïî èìåíè §Y[random_society_winner.GetFirstName]§!, ÷òîáû èçáåæàòü óïëàòû äîëãà.;;x
tooltip_betting_10_gold;Bet §G10§! gold.;;;;;;;;;;;Ïîñòàâèòü §G10.0§! çîëîòûõ.;;x
tooltip_betting_20_gold;Bet §G20§! gold.;;;;;;;;;;;Ïîñòàâèòü §G20.0§! çîëîòûõ.;;x
tooltip_betting_25_gold;Bet §G25§! gold.;;;;;;;;;;;Ïîñòàâèòü §G25.0§! çîëîòûõ.;;x
tooltip_betting_50_gold;Bet §G50§! gold.;;;;;;;;;;;Ïîñòàâèòü §G50.0§! çîëîòûõ.;;x
tooltip_betting_100_gold;Bet §G100§! gold.;;;;;;;;;;;Ïîñòàâèòü §G100.0§! çîëîòûõ.;;x
tooltip_betting_200_gold;Bet §G200§! gold.;;;;;;;;;;;Ïîñòàâèòü §G200.0§! çîëîòûõ.;;x
tooltip_betting_250_gold;Bet §G250§! gold.;;;;;;;;;;;Ïîñòàâèòü §G250.0§! çîëîòûõ.;;x
tooltip_betting_500_gold;Bet §G500§! gold.;;;;;;;;;;;Ïîñòàâèòü §G500.0§! çîëîòûõ.;;x
tooltip_betting_1000_gold;Bet §G1000§! gold.;;;;;;;;;;;Ïîñòàâèòü §G1000.0§! çîëîòûõ.;;x
tooltip_betting_double;Bet §G[local_twice_betting_money.GetValue]§! gold.;;;;;;;;;;;Ïîñòàâèò §G[local_twice_betting_money.GetValue]§! çîëîòûõ.;;x
# Unused
# tooltip_EVTOPTYHF25235;Start a §YDuel§! with §Y[random_society_winner.GetFirstName]§! to avoid paying your debt.;;;;;;;;;;;Âñòóïèòü â §Yïîåäèíîê§! ñ [random_society_winner.GetAgedPersonINS] ïî èìåíè §Y[random_society_winner.GetFirstName]§!, ÷òîáû èçáåæàòü óïëàòû äîëãà.;;x
