# Historical
alexander_bloodline;Immortal Blood of Alexander;;;;;;;;;;;Áåññìåðòíàÿ êðîâü Àëåêñàíäðà;;x
bloodline_legendary_dog_hunter_C;Wolf-Blood of [This.Founder.GetFirstNameWithNick];;;;;;;;;;;Êðîâü Âîëêà;;x
bloodline_legendary_dog_hunter_D;Hounded Blood;;;;;;;;;;;Êðîâü Ãîí÷åé;;x
bloodline_legendary_eagle_hunter_A;Sky Blood of [This.GetTitledFirstName];;;;;;;;;;;Íåáåñíàÿ êðîâü;;x
bloodline_legendary_eagle_hunter_B;Eternal Blood of [This.GetTitledFirstName];;;;;;;;;;;Âå÷íàÿ êðîâü;;x
bloodline_legendary_eagle_hunter_C;Blood of Open Skies;;;;;;;;;;;Êðîâü ßñíîãî Íåáà;;x
bloodline_legendary_eagle_hunter_D;Windrunner's Blood;;;;;;;;;;;Êðîâü Âåòðîêðûëî[This.GetYGo];;x
bloodline_legendary_leader_A;[This.Founder.GetWarriorRoleCap]'s Blood;;;;;;;;;;;Êðîâü [This.Founder.GetWarriorRoleCapGEN];;x
bloodline_legendary_leader_B;Blood of the [This.Founder.GetWarriorRoleCap];;;;;;;;;;;Êðîâü [This.Founder.GetWarriorRoleCapGEN];;x
bloodline_legendary_leader_C;Blood of a Leader;;;;;;;;;;;Êðîâü Ëèäåðà;;x
bloodline_legendary_leader_D;Ardent Blood of [This.Founder.GetWarriorRoleCap];;;;;;;;;;;Ãîðÿ÷àÿ êðîâü [This.Founder.GetWarriorRoleCapGEN];;x
bloodline_legendary_raider_A;Raider's Blood;;;;;;;;;;;Êðîâü Íàë¸ò÷è[This.Founder.GetTsyKa];;x
bloodline_legendary_raider_B;Blood of [This.Founder.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.Founder.GetFirstNameWithNick];;x
bloodline_legendary_raider_C;[This.Founder.GetWarriorLodgeSymbolShortCap] Blood of the [This.Founder.GetWarriorRoleCap];;;;;;;;;;;Êðîâü [This.Founder.GetWarriorLodgeSymbolShortCapGEN];;x
bloodline_legendary_raider_D;Marauder's Blood;;;;;;;;;;;Êðîâü Ìàðîä¸ðà;;x
bloodline_legendary_soldier_A;[This.Founder.GetEducationComplimentAdjectiveCap] [This.Founder.GetWarriorRoleCap]'s Blood;;;;;;;;;;;Êðîâü Âåëèêîãî [This.Founder.GetWarriorRoleCapGEN];;x
bloodline_legendary_soldier_B;[This.Founder.GetEducationComplimentAdjectiveCap] Blood of [This.Founder.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.Founder.GetComplimentAdjectiveCap] [This.Founder.GetFirstNameWithNick];;x
bloodline_legendary_soldier_C;[This.Founder.GetWarriorRoleCap]'s Steel Blood;;;;;;;;;;;Ñòàëüíàÿ êðîâü [This.Founder.GetWarriorRoleCapGEN];;x
bloodline_legendary_soldier_D;Battle Blood of [This.Founder.GetFirstNameWithNick];;;;;;;;;;;Âîèí-ïðåäîê - [This.Founder.GetFirstNameWithNick];;x
bloodline_legendary_warrior_A;Pride of [This.Founder.Society.GetName];;;;;;;;;;;Ãîðäîñòü [This.Founder.GetSocietyNameGEN];;x
bloodline_legendary_warrior_B;Blood of a [This.Founder.GetWarriorRoleCap];;;;;;;;;;;Êðîâü [This.Founder.GetWarriorRoleCapGEN];;x
bloodline_legendary_warrior_C;Blood of [This.Founder.GetWarriorBattleNick];;;;;;;;;;;Êðîâü [This.Founder.GetWarriorBattleNickGEN];;x
bloodline_legendary_warrior_D;[This.Founder.GetWarriorRoleCap]'s Blood;;;;;;;;;;;Êðîâü [This.Founder.GetWarriorRoleCapGEN];;x
bloodline_sea_king_pirate_random_a;Saltblood of [Root.GetFirstName];;;;;;;;;;;Ïðåäîê - Ñîë¸íîêðîâ[Root.GetAyaYy] [Root.GetFirstName];;x
bloodline_sea_king_pirate_random_b;Kraken of [Root.Capital.GetName];;;;;;;;;;;Êðîâü [Root.Capital.County.GetAdjective]ñêîãî Êðàêåíà;;x
bloodline_sea_king_pirate_random_c;Abyssal Blood;;;;;;;;;;;Êðîâü Áåçäíû;;x
bloodline_sea_king_pirate_random_d;Stormforged;;;;;;;;;;;Êðîâü Áóðåðîæä¸ííîãî;;x
bloodline_sea_king_viking_random_a;Stormblood of [Root.GetFirstName];;;;;;;;;;;Ïðåäîê - Áóðåðîæä¸íí[Root.GetAyaYy] [Root.GetFirstName];;x
bloodline_sea_king_viking_random_b;Blood of the Depths;;;;;;;;;;;Êðîâü Ãëóáèí;;x
bloodline_sea_king_viking_random_c;Aesiryan Blood;;;;;;;;;;;Êðîâü Àñîâ;;x
bloodline_sea_king_viking_random_d;Blood of the Tempest;;;;;;;;;;;Êðîâü Áóðè;;x
bloodline_seaqueen_pirate_random_a;Fury of [Root.Capital.GetName];;;;;;;;;;;Êðîâü [Root.Capital.County.GetAdjective]ñêîé ßðîñòè;;x
bloodline_seaqueen_pirate_random_b;Siren Blood;;;;;;;;;;;Êðîâü Ñèðåí;;x
bloodline_seaqueen_pirate_random_c;Saltblood of [Root.GetFirstName];;;;;;;;;;;Ïðåäîê - Ñîë¸íîêðîâ[Root.GetAyaYy] [Root.GetFirstName];;x
bloodline_seaqueen_pirate_random_d;Stormforged;;;;;;;;;;;Êðîâü Áóðåðîæä¸ííîé;;x
bloodline_seaqueen_viking_random_a;Stormblood of [Root.GetFirstName];;;;;;;;;;;Ïðåäîê - Áóðåðîæä¸íí[Root.GetAyaYy] [Root.GetFirstName];;x
bloodline_seaqueen_viking_random_b;Wyrm Blood;;;;;;;;;;;Êðîâü Âèðìà;;x
bloodline_seaqueen_viking_random_c;Valkyrian Blood;;;;;;;;;;;Êðîâü Âàëüêèðèé;;x
bloodline_seaqueen_viking_random_d;Eye of the Maelstrom;;;;;;;;;;;Êðîâü Âîäîâîðîòà;;x
saintly_bloodline_name;Blood of Saint [saint_person.GetDynName];;;;;;;;;;;Ïðåäîê - Ñâÿò[saint_person.GetAyaOy] [saint_person.GetDynName];;x
saintly_bloodline_description;[saint_person.GetTitledFirstName] was known for [saint_person.GetNature][saint_person.GetMiracleShort]. Canonized by [Root.GetTitledName].;;;;;;;;;;;[saint_person.GetTitledFirstName] áûë[saint_person.GetEndA] èçâåñò[saint_person.GetNaEn] [saint_person.GetNature][GetMiracleShort]. [Root.GetTitledFirstName] êàíîíèçèðîâàë[Root.GetEndA] [saint_person.GetHersHis].;;x
saintly_cannibal_description;[saint_person.GetFirstName] was known for [saint_person.GetHerHis] disgusting acts of cannibalism. Impiously canonized by the wicked [Root.GetTitledName].;;;;;;;;;;;[saint_person.GetFirstName] áûë[saint_person.GetEndA] èçâåñò[saint_person.GetNaEn] îìåðçèòåëüíûìè àêòàìè êàííèáàëèçìà. Íå÷åñòèâ[Root.GetAyaYy] [Root.GetTitledFirstName] êàíîíèçèðîâàë[Root.GetEndA] [saint_person.GetHersHis].;;x
saintly_drunkard_description;[saint_person.GetFirstName] was known for [saint_person.GetHerHis] love for alcohol. Impiously canonized by the wicked [Root.GetTitledName].;;;;;;;;;;;[saint_person.GetFirstName] áûë[saint_person.GetEndA] èçâåñò[saint_person.GetNaEn] ñâîèì ïðèñòðàñòèåì ê âûïèâêå. Íå÷åñòèâ[Root.GetAyaYy] [Root.GetTitledFirstName] êàíîíèçèðîâàë[Root.GetEndA] [saint_person.GetHersHis].;;x
saintly_hedonist_description;[saint_person.GetFirstName] was known for [saint_person.GetHerHis] wild parties across the [saint_person.Religion.GetGroupName] realm. Impiously canonized by the wicked [Root.GetTitledName].;;;;;;;;;;;[saint_person.GetFirstName] áûë[saint_person.GetEndA] èçâåñò[saint_person.GetNaEn] ñâîèìè ðîñêîøíûìè ïèðàìè, êîòîðûå [saint_person.GetSheHe] óñòðàèâàë[saint_person.GetEndA] ïî âñåé [saint_person.GetRelGroupAdj]ñêîé çåìëå. Íå÷åñòèâ[Root.GetAyaYy] [Root.GetTitledFirstName] êàíîíèçèðîâàë[Root.GetEndA] [saint_person.GetHersHis].;;x
saintly_homosexual_description;[saint_person.GetFirstName] was known as the lover of [Root.GetTitledFirstName]. Impiously canonized by the wicked [Root.GetTitledName].;;;;;;;;;;;[saint_person.GetFirstName] áûë[saint_person.GetEndA] èçâåñò[saint_person.GetNaEn] òåì, ÷òî [Root.GetTitledFirstName] áûë[Root.GetEndA] [saint_person.GetHersHis] ëþáîâíè[Root.GetTseyKom], çà ÷òî è êàíîíèçèðîâàë[Root.GetEndA] [saint_person.GetHersHis].;;x
saintly_impaler_description;[saint_person.GetFirstName] was known for [saint_person.GetHerHis] love for the pain of others. Impiously canonized by the wicked [Root.GetTitledName].;;;;;;;;;;;[saint_person.GetFirstName] áûë[saint_person.GetEndA] èçâåñò[saint_person.GetNaEn] ñâîèì ïðèñòðàñòèåì ê ïðè÷èíåíèþ áîëè îêðóæàþùèì. Íå÷åñòèâ[Root.GetAyaYy] [Root.GetTitledFirstName] êàíîíèçèðîâàë[Root.GetEndA] [saint_person.GetHersHis].;;x
saintly_lunatic_description;[saint_person.GetFirstName] was known for [saint_person.GetHerHis] insane and erratic actions throughout [saint_person.GetHerHis] life. Impiously canonized by the wicked [Root.GetTitledName].;;;;;;;;;;;[saint_person.GetFirstName] áûë[saint_person.GetEndA] èçâåñò[saint_person.GetNaEn] ñâîèìè áåçóìíûìè ïîñòóïêàìè. Íå÷åñòèâ[Root.GetAyaYy] [Root.GetTitledFirstName] êàíîíèçèðîâàë[Root.GetEndA] [saint_person.GetHersHis].;;x
saintly_lustful_description;[saint_person.GetFirstName] was known as the lover of [Root.GetTitledFirstName]. Impiously canonized by the wicked [Root.GetTitledName].;;;;;;;;;;;[saint_person.GetFirstName] áûë[saint_person.GetEndA] èçâåñò[saint_person.GetNaEn] òåì, ÷òî [Root.GetTitledFirstName] áûë[Root.GetEndA] [saint_person.GetHersHis] ëþáîâíè[Root.GetTseyKom], çà ÷òî è êàíîíèçèðîâàë[Root.GetEndA] [saint_person.GetHersHis].;;x
saintly_seducer_description;[saint_person.GetFirstName] was known for sleeping [saint_person.GetHerHis] way through the [saint_person.Religion.GetGroupName] realm. Impiously canonized by the wicked [Root.GetTitledName].;;;;;;;;;;;[saint_person.GetFirstName] áûë[saint_person.GetEndA] èçâåñò[saint_person.GetNaEn] òåì, ÷òî ñïàë[saint_person.GetEndA] ÷óòü ëè íå ñ êàæä[saint_person.GetPreferenceOyYm] [saint_person.GetManWomanPreferenceINS]îé íà âñåé [saint_person.GetRelGroupAdj]ñêîé çåìëå. Íå÷åñòèâ[Root.GetAyaYy] [Root.GetTitledFirstName] êàíîíèçèðîâàë[Root.GetEndA] [saint_person.GetHersHis].;;x
