ABANDON_AMBITION_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§! ended [Recipient.GetPossPronoun] plot to [Recipient.GetPlot].;;;;;;;;;;;§Y[Recipient.GetBestName]§W ïðåêðàòèë[Recipient.GetEndA] ñâîé çàãîâîð: §Y[Recipient.GetPlot]§W.;;x
RESIGN_COMMANDER_INTERACTION_ACCEPT_SETUP;Commander Relieved;;;;;;;;;;;Ïîëêîâîäåö îòñòðàí¸í;;x
RESIGN_COMMANDER_INTERACTION_DESC;Relieve §Y[Recipient.GetTitledFirstName]§! of [Recipient.GetHerHis] duties as a Commander;;;;;;;;;;;§Y[Recipient.GetTitledFirstName]§W îñâîáîäèòñÿ îò ñâîåé äîëæíîñòè ïîëêîâîäöà;;x
RESIGN_COMMANDER_INTERACTION_LETTER;We have decided to revoke your title as commander.;;;;;;;;;;;Ìû ðåøèëè ëèøèòü Âàñ äîëæíîñòè ïîëêîâîäöà.;;x
RESIGN_COMMANDER_INTERACTION_LONG_DESC;If a Commander gets injured, sick or old it might be a good idea to relieve them of their duties;;;;;;;;;;;Åñëè ïîëêîâîäåö ðàíåí, áîëåí èëè ñòàð, ñíÿòü åãî ñ äîëæíîñòè âåñüìà ïîëåçíî;;x
RESIGN_COMMANDER_INTERACTION_TITLE;Relieve Commander;;;;;;;;;;;Ëèøèòü êîìàíäîâàíèÿ;;x
RESIGN_FROM_OFFICE_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! chose to retire from [Actor.GetPossPronoun] job as [Actor.GetJobTitle] of §Y[Recipient.PrimaryTitle.GetName]§!;;;;;;;;;;;§Y[Actor.GetBestName]§W ðåøèë[Actor.GetEndA] îñòàâèòü ñâîé ïîñò â §Y[Recipient.PrimaryTitle.GetAdjective]ñêîì ñîâåòå§W , òåïåðü [Actor.GetSheHe] áîëüøå íå §Y[Actor.GetJobTitle]§W.;;x
RESIGN_FROM_OFFICE_INTERACTION_ACCEPT_SETUP;Office Resigned;;;;;;;;;;;Ñîâåòíèê ïîêèäàåò ñâîé ïîñò;;x
RESIGN_FROM_OFFICE_INTERACTION_DESC;Resign from my position on the Council;;;;;;;;;;;Óéòè ñ çàíèìàåìîãî ïîñòà â ñîâåòå;;x
RESIGN_FROM_OFFICE_INTERACTION_LETTER;Regrettably, the needs of my own domain makes it impossible for me to continue as [Actor.GetJobTitle] of [Recipient.PrimaryTitle.GetName]. I am afraid I have to resign my position on the council.;;;;;;;;;;;Ïðèñêîðáíî, íî ÿ áîëüøå íå ìîãó ïðîäîëæàòü ñëóæèòü Âàì êàê [Actor.GetJobTitle], ïîýòîìó ÿ îñòàâëÿþ ýòîò ïîñò.;;x
RESIGN_FROM_OFFICE_INTERACTION_LONG_DESC;You can decide to retire from your current office in your liege's council at any time.;;;;;;;;;;;Âû ìîæåòå â ëþáîé ìîìåíò óéòè ñ äîëæíîñòè, çàíèìàåìîé â ñîâåòå.;;x
RESIGN_FROM_OFFICE_INTERACTION_TITLE;Resign from Council;;;;;;;;;;;Ïîêèíóòü ïîñò â ñîâåòå;;x
RETIRE_TO_MONASTERY_INTERACTION_0;§Y[Recipient.GetFirstName]§! will join the §Y$TITLE$§! in their defense of the [Recipient.Religion.GetName] faith.;;;;;;;;;;;§Y[Recipient.GetFirstName]§! âñòóïèò â ãðóïïó, èçâåñòíóþ êàê §Y$TITLE$§!, è áóäåò çàùèùàòü [Recipient.GetReligionFullName] ñ íèìè.;;x
RETIRE_TO_MONASTERY_INTERACTION_1;§Y[Recipient.GetFirstName]§! will become a monk, but stay in your court.;;;;;;;;;;;§Y[Recipient.GetFirstName]§! ñòàíåò ìîíàõîì, íî îñòàíåòñÿ Âàøèì ïðèäâîðíûì.;;x
RETIRE_TO_MONASTERY_INTERACTION_2;§Y[Recipient.GetFirstName]§! will become a nun, but stay in your court.;;;;;;;;;;;§Y[Recipient.GetFirstName]§! ñòàíåò ìîíàõèíåé, íî îñòàíåòñÿ Âàøåé ïðèäâîðíîé.;;x
RETIRE_TO_MONASTERY_INTERACTION_3;§Y[Recipient.GetFirstName]§! will be released from prison.;;;;;;;;;;;§Y[Recipient.GetFirstName]§! îñâîáîäèòñÿ èç çàêëþ÷åíèÿ.;;x
RETIRE_TO_MONASTERY_INTERACTION_ACCEPT_LOG;§Y[Actor.GetDynName]§! ordered §Y[Recipient.GetBestName]§! to join a monastic order.;;;;;;;;;;;§Y[Actor.GetDynName]§! ïîñòàíîâèë[Actor.GetEndA], ÷òî §Y[Recipient.GetBestName]§! âñòóïèò â ìîíàøåñêèé îðäåí.;;x
RETIRE_TO_MONASTERY_INTERACTION_ACCEPT_SETUP;Character Joins Monastic Order;;;;;;;;;;;Ïåðñîíàæ âñòóïèë â ìîíàøåñêèé îðäåí;;x
RETIRE_TO_MONASTERY_INTERACTION_DESC;Order §Y[Recipient.GetBestName]§! to take the vows and join a monastic order.;;;;;;;;;;;Èçäàòü óêàç, ñîãëàñíî êîòîðîìó §Y[Recipient.GetBestName]§! îòðå÷åòñÿ îò ìèðñêîé æèçíè è ïðèñîåäèíèòñÿ ê ìîíàøåñêîìó îðäåíó.;;x
RETIRE_TO_MONASTERY_INTERACTION_LONG_DESC;You can order unlanded courtiers to take the vows and join a monastic order of their choice. This will disqualify them from normal inheritance, but they can still be claimants.;;;;;;;;;;;Âû ìîæåòå ïðèêàçàòü ñâîèì áåççåìåëüíûì ïðèäâîðíûì îòïðàâèòüñÿ â ìîíàñòûðü è ïðèíÿòü ìîíàøåñêèé ñàí. Ýòî èñêëþ÷èò èõ èç ñâåòñêîé ëèíèè íàñëåäîâàíèÿ, íî îíè âñ¸ åù¸ ñìîãóò ïðåòåíäîâàòü íà òèòóëû.;;x
RETIRE_TO_MONASTERY_INTERACTION_TITLE;Order to Take the Vows;;;;;;;;;;;Ñîñëàòü â ìîíàñòûðü;;x
RETRACT_VASSAL_INTERACTION_0;Select a vassal to retract from §Y[Recipient.GetTitledFirstName]§!.;;;;;;;;;;;Âûáåðèòå âàññàëà, êîòîðîãî ñëåäóåò îòîçâàòü (ñþçåðåí - §Y[Recipient.GetTitledFirstName]§W).;;x
RETRACT_VASSAL_INTERACTION_1;Make §Y[ThirdPartyCharacter.GetBestName]§! your direct vassal, decreasing §Y[Recipient.GetTitledFirstName]§!'s opinion of you by §R$OPINION$§!.;;;;;;;;;;;Ïîñòàíîâèòü, ÷òî §Y[ThirdPartyCharacter.GetBestName]§W ñòàíåò Âàøèì ïðÿìûì âàññàëîì, èç-çà ÷åãî §Y[Recipient.GetTitledFirstName]§W óõóäøèò ñâî¸ ìíåíèå î Âàñ íà §R$OPINION$§W.;;x
RETRACT_VASSAL_INTERACTION_2;Thanks to the crown authority in the §Y$CROWN_TITLE$§!, our vassals cannot object.;;;;;;;;;;;Áëàãîäàðÿ Àâòîðèòåòó Êîðîíû òèòóëà §Y$CROWN_TITLE$§!, íàøè âàññàëû íå ìîãóò âîçðàçèòü.;;x
RETRACT_VASSAL_INTERACTION_2B;Since §Y[Recipient.GetTitledFirstName]§! is a traitor, our vassals will not object.;;;;;;;;;;;Ïîñêîëüêó §Y[Recipient.GetTitledFirstName]§! - ïðåäàòåëü[Recipient.GetEndNitsa], íàøè âàññàëû íå áóäóò âîçðàæàòü.;;x
RETRACT_VASSAL_INTERACTION_2C;Since §Y[Recipient.GetTitledFirstName]§! is an infidel, only §Y[Recipient.Religion.GetName]§! vassals will object (§R$OPINION$§!).;;;;;;;;;;;Ïîñêîëüêó §Y[Recipient.GetTitledFirstName]§! - ìåðçê[Recipient.GetAyaIy] åðåòè[Recipient.GetChkaK], èñïîâåäóþù[Recipient.GetAyaIy] §Y[Recipient.GetReligionFullName]§!, òîëüêî âàññàëû [Recipient.GetHersHis] âåðû áóäóò âîçðàæàòü (ìíåíèå î Âàñ: §R$OPINION$§!).;;x
RETRACT_VASSAL_INTERACTION_2D;This is a breach of the feudal contract and will upset your other vassals (§R$OPINION$§!).;;;;;;;;;;;Ïîäîáíîå íàðóøåíèå ôåîäàëüíîãî äîãîâîðà ðàññòðîèò Âàøèõ âàññàëîâ (ìíåíèå î Âàñ: §R$OPINION$§!).;;x
RETRACT_VASSAL_INTERACTION_2E;Our Imperial administration allows us to retract vassals without objections from the aristocracy.;;;;;;;;;;;Çàêîíû íàøåé èìïåðèè ïîçâîëÿþò îòçûâàòü âàññàëîâ áåç âîçðàæåíèé ñî ñòîðîíû àðèñòîêðàòèè.;;x
RETRACT_VASSAL_INTERACTION_2F;Our §Y$GOVERNMENT$§! government allows us to retract vassals without objections from other vassals.;;;;;;;;;;;§Y$GOVERNMENT$§! ïîçâîëÿåò îòçûâàòü âàññàëîâ, íå âçèðàÿ íà ñîãëàñèå äðóãèõ âàññàëîâ.;;x
RETRACT_VASSAL_INTERACTION_2N;This is a breach of the feudal contract and will upset your other non-Nomadic vassals (§R$OPINION$§!).;;;;;;;;;;;Ïîäîáíîå íàðóøåíèå ôåîäàëüíîãî äîãîâîðà ðàññòðîèò Âàøèõ íåêî÷åâûõ âàññàëîâ (ìíåíèå î Âàñ: §R$OPINION$§!).;;x
RETRACT_VASSAL_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! has transferred the vassalage of §Y[ThirdPartyCharacter.GetBestName]§! from §Y[Recipient.GetBestName]§!;;;;;;;;;;;§Y[Actor.GetBestName]§W îòîçâàë[Actor.GetEndA] âàññàëà (§Y[ThirdPartyCharacter.GetBestName]§W) ó åãî ñþçåðåíà (§Y[Recipient.GetBestName]§W);;x
RETRACT_VASSAL_INTERACTION_ACCEPT_SETUP;Vassal Retracted;;;;;;;;;;;Âàññàë îòîçâàí;;x
RETRACT_VASSAL_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§! refused the retraction of the vassal §Y[ThirdPartyCharacter.GetBestName]§!, demanded by §Y[Actor.GetBestName]§!;;;;;;;;;;;§Y[Recipient.GetBestName]§W îòêàçàë[Recipient.GetEndA] â îòçûâå ñâîåãî âàññàëà (§Y[ThirdPartyCharacter.GetBestName]§W), êîòîðîãî òðåáóåò §Y[Actor.GetBestName]§W;;x
RETRACT_VASSAL_INTERACTION_DECLINE_SETUP;Vassal Retraction Refused;;;;;;;;;;;Â îòçûâå âàññàëà îòêàçàíî;;x
RETRACT_VASSAL_INTERACTION_DESC;Retract a vassal from §Y[Recipient.GetBestName]§!.;;;;;;;;;;;Îòîçâàòü âàññàëà ó åãî ñþçåðåíà (§Y[Recipient.GetBestName]§!).;;x
RETRACT_VASSAL_INTERACTION_LETTER;We have decided to retract the vassalage of [ThirdPartyCharacter.GetBestName]. Failure to accept will lead to war.;;;;;;;;;;;Ìû ðåøèëè îòîçâàòü Âàøåãî âàññàëà [ThirdPartyCharacter.GetBestName]. Îòêàç ñ Âàøåé ñòîðîíû ïðèâåäåò ê âîéíå.;;x
RETRACT_VASSAL_INTERACTION_LONG_DESC;You can retract a vassal from one of your direct vassals. They will not be happy about this, especially if it is their de jure vassal.;;;;;;;;;;;Âû ìîæåòå îòîçâàòü âàññàëà ó îäíîãî èç Âàøèõ ïðÿìûõ âàññàëîâ, êîòîðûõ ýòî ÿâíî íå îáðàäóåò, îñîáåííî, åñëè ýòî èõ äå-þðå âàññàë.;;x
RETRACT_VASSAL_INTERACTION_TITLE;Retract Vassalage;;;;;;;;;;;Îòîçâàòü âàññàëà;;x
REVOKE_HONORARY_TITLE_INTERACTION_0;Select an honorary title to revoke from §Y[Recipient.GetTitledFirstName]§!.;;;;;;;;;;;Âûáåðèòå ïî÷¸òíûé òèòóë, êîòîðîãî ëèøèòñÿ §Y[Recipient.GetTitledFirstName]§W.;;x
REVOKE_HONORARY_TITLE_INTERACTION_1;Revoke the title of §Y[ThirdPartyTitle.GetFullName]§! from §Y[Recipient.GetTitledFirstName]§!.;;;;;;;;;;;Îòîçâàòü òèòóë §Y[ThirdPartyTitle.GetFullName]§W ó ÷åëîâåêà, èçâåñòíîãî êàê §Y[Recipient.GetTitledFirstName]§W. ;;x
REVOKE_HONORARY_TITLE_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! revoked the title of §Y[ThirdPartyTitle.GetFullName]§! from §Y[Recipient.GetBestName]§!;;;;;;;;;;;§Y[Actor.GetBestName]§W îòîçâàë[Actor.GetEndA] òèòóë §Y[ThirdPartyTitle.GetFullName]§W ó òîãî, êîãî çîâóò §Y[Recipient.GetBestName]§W;;x
REVOKE_HONORARY_TITLE_INTERACTION_ACCEPT_SETUP;Honorary Title Revoked;;;;;;;;;;;Ïî÷¸òíûé òèòóë îòîçâàí;;x
REVOKE_HONORARY_TITLE_INTERACTION_DESC;Revoke an honorary title previously awarded to a character;;;;;;;;;;;Îòîçâàòü ïî÷¸òíûé òèòóë, ïðåæäå ïîæàëîâàííûé ýòîìó ÷åëîâåêó;;x
REVOKE_HONORARY_TITLE_INTERACTION_LONG_DESC;You can revoke honorary titles that you have awarded to characters, depriving them of the prestige and income from those titles.;;;;;;;;;;;Âû ìîæåòå îòçûâàòü ïî÷¸òíûå òèòóëû, êîòîðûìè íàãðàäèëè êîãî-ëèáî, ëèøàÿ åãî ïðåñòèæà è äåíåæíîãî äîâîëüñòâèÿ.;;x
REVOKE_HONORARY_TITLE_INTERACTION_TITLE;Revoke Honorary Title;;;;;;;;;;;Îòîçâàòü ïî÷¸òíûé òèòóë;;x
REVOKE_HONORARY_TITLE_OPINION;This will change [Recipient.GetPossPronoun] opinion of you by $OPINION|+$.;;;;;;;;;;;Ýòî óõóäøèò [Recipient.GetAbsPossPronoun] ìíåíèå î Âàñ íà $OPINION|+$.;;x
REVOKE_HONORARY_TITLE_SPLIT_OPINION;This will change [Recipient.GetPossPronoun] opinion of you by $OPINION|+$ ($TITLE_OPINION|+$ from losing the title and $REVOKE_OPINION|+$ from making [Recipient.GetObjectPronoun] upset).;;;;;;;;;;;Ýòî óõóäøèò [Recipient.GetAbdPossPronoun] ìíåíèå î Âàñ íà $OPINION|+$ ($TITLE_OPINION|+$ îò ïîòåðè òèòóëà è $REVOKE_OPINION|+$ îò ñïîñîáà, êîòîðûì [Recipient.GetSheHe] åãî ëèøàåòñÿ).;;x
REVOKE_TITLE_INTERACTION_0;Select a title to revoke. Revoking a title will lower §Y[Recipient.GetTitledFirstName]§!'s opinion of you. If you do not have a claim on the title or high enough Crown Authority, it will cost you Prestige and anger your vassals.;;;;;;;;;;;Âûáåðèòå òèòóë, êîòîðûé õîòèòå îòîçâàòü. Ïðèñâîåíèå ñåáå ÷óæîãî òèòóëà ïðèâåä¸ò ê òîìó, ÷òî åãî âëàäåëåö, §Y[Recipient.GetTitledFirstName]§W, óõóäøèò ñâî¸ ìíåíèå î Âàñ. Åñëè ó Âàñ íåò ïðåòåíçèé íà ýòîò òèòóë, èëè åñëè àâòîðèòåò Êîðîíû íåäîñòàòî÷íî âûñîê, ýòî áóäåò ñòîèòü Âàì î÷êîâ ïðåñòèæà è ðàçîçëèò Âàøèõ âàññàëîâ.;;x
REVOKE_TITLE_INTERACTION_1;Revoke the §Y[ThirdPartyTitle.GetFullName]§! for §R$PRESTIGE$§! Prestige. This will lower §Y[Recipient.GetTitledFirstName]§!'s opinion of you by §R$OPINION$§!, and your other vassals' by §R$OPINION2$§!.;;;;;;;;;;;"Îòîçâàòü çåìåëüíûé òèòóë ""§Y[ThirdPartyTitle.GetFullName]§W"" çà §R$PRESTIGE$§W ïðåñòèæà. §Y[Recipient.GetTitledFirstName]§W óõóäøèò ñâî¸ ìíåíèå î Âàñ íà §R$OPINION$§W, ìíåíèå ïðî÷èõ Âàøèõ âàññàëîâ óõóäøèòñÿ íà §R$OPINION2$§W.";;x
REVOKE_TITLE_INTERACTION_1N;Revoke the §Y[ThirdPartyTitle.GetFullName]§! for §R$PRESTIGE$§! Prestige. This will lower §Y[Recipient.GetTitledFirstName]§!'s opinion of you by §R$OPINION$§!, and other non-Nomad vassals' by §R$OPINION2$§!.;;;;;;;;;;;Îòîçâàòü §Y[ThirdPartyTitle.GetFullName]§! çà §R$PRESTIGE$§! î÷êîâ ïðåñòèæà. §Y[Recipient.GetTitledFirstName]§! óõóäøèò ñâî¸ ìíåíèå î Âàñ íà §R$OPINION$§!, à äðóãèõ íåêî÷åâûõ âàññàëîâ íà §R$OPINION2$§!.;;x
REVOKE_TITLE_INTERACTION_2;Revoke the §Y[ThirdPartyTitle.GetFullName]§!. This will lower §Y[Recipient.GetTitledFirstName]§!'s opinion of you by §R$OPINION$§!.;;;;;;;;;;;"Îòîçâàòü çåìåëüíûé òèòóë ""§Y[ThirdPartyTitle.GetFullName]§W"". §Y[Recipient.GetTitledFirstName]§W óõóäøèò ñâî¸ ìíåíèå î Âàñ íà §R$OPINION$§W.";;x
REVOKE_TITLE_INTERACTION_2B;Since we have a claim on it, our vassals will not object.;;;;;;;;;;;Âàññàëû íå ñòàíóò âîçðàæàòü, òàê êàê ìû èìååì íà ýòî ïðàâî.;;x
REVOKE_TITLE_INTERACTION_2C;Thanks to the crown authority in the §Y$CROWN_TITLE$§!, our vassals cannot object.;;;;;;;;;;;Áëàãîäàðÿ êîðîëåâñêîìó òèòóëó (§Y$CROWN_TITLE$§!), âàññàëû íå ìîãóò íàì âîçðàçèòü.;;x
REVOKE_TITLE_INTERACTION_2D;Since §Y[Recipient.GetTitledFirstName]§! is a traitor, our vassals will not object.;;;;;;;;;;;Ïîñêîëüêó §Y[Recipient.GetTitledFirstName]§! - ïðåäàòåëü[Recipient.GetEndNitsa], íàøè âàññàëû ïîääåðæàò íàñ.;;x
REVOKE_TITLE_INTERACTION_2E;Since §Y[Recipient.GetTitledFirstName]§! is an infidel, only §Y[Recipient.Religion.GetName]§! vassals will object (§R$OPINION$§!).;;;;;;;;;;;Ïîñêîëüêó §Y[Recipient.GetTitledFirstName]§! - ìåðçê[Recipient.GetAyaIy] åðåòè[Recipient.GetChkaK], èñïîâåäóþù[Recipient.GetAyaIy] §Y[Recipient.GetReligionFullName]§!, òîëüêî âàññàëû [Recipient.GetHersHis] âåðû áóäóò âîçðàæàòü (ìíåíèå î Âàñ: §R$OPINION$§!).;;x
REVOKE_TITLE_INTERACTION_2F;Our Imperial administration allows us to revoke Duchies without objections from the aristocracy.;;;;;;;;;;;Íàøà Èìïåðñêàÿ àäìèíèñòðàöèÿ ïîçâîëÿåò îòçûâàòü òèòóëû ãðàôîâ áåç âîçðàæåíèÿ ñî ñòîðîíû àðèñòîêðàòèè.;;x
REVOKE_TITLE_INTERACTION_2G;Our $GOVERNMENT$ administration allows us to revoke §Y$TIER$§! titles without objections from the aristocracy.;;;;;;;;;;;$GOVERNMENT$ ïîçâîëÿåò íàì îòçûâàòü òèòóëû ðàíãà §Y$TIER$§! áåç âîçðàæåíèÿ ñî ñòîðîíû àðèñòîêðàòèè.;;x
REVOKE_TITLE_INTERACTION_2H;Our Imperial administration allows us to revoke our rightful capital of §Y$CAPITAL$§! without objections from the aristocracy.;;;;;;;;;;;Çàêîíû íàøåé Èìïåðèè ïîçâîëÿþò îòçûâàòü òèòóë ñòîëèöû §Y$CAPITAL$§! áåç ñîãëàñîâàíèÿ ñ àðèñòîêðàòèåé.;;x
REVOKE_TITLE_INTERACTION_2I;Since §Y[Recipient.GetTitledFirstName]§! is a Tribal barbarian, our vassals will not object.;;;;;;;;;;;Ïîñêîëüêó §Y[Recipient.GetTitledFirstName]§! - ïðèìèòèâíûé äèêàðü, íàøè âàññàëû íå áóäóò âîçðàæàòü.;;x
REVOKE_TITLE_INTERACTION_2J;Our Imperial administration allows us to revoke viceroyalty Duchies without objections from the aristocracy.;;;;;;;;;;;Íàøà èìïåðñêàÿ àäìèíèñòðàöèÿ ïîçâîëÿåò íàì îòçûâàòü òèòóëû íàìåñòíèêîâ áåç âîçðàæåíèé ñî ñòîðîíû àðèñòîêðàòèè.;;x
REVOKE_TITLE_INTERACTION_3;There is a §R$RISK$%§! chance that §Y[Recipient.GetSubjectPronoun]§! will revolt!;;;;;;;;;;;Åñòü §R$RISK$%§W øàíñ, ÷òî [Recipient.GetSubjectPronoun]§W âçáóíòóåòñÿ!;;x
REVOKE_TITLE_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! revoked the §Y[ThirdPartyTitle.GetFullName]§! from §Y[Recipient.GetBestName]§!;;;;;;;;;;;"§Y[Recipient.GetBestName]§W ëèøè[Recipient.GetLasLsya] çåìåëüíîãî òèòóëà ""§Y[ThirdPartyTitle.GetFullName]§W"", §Y[Actor.GetBestName]§W ïðèñâîèë[Actor.GetEndA] ýòîò òèòóë ñåáå.";;x
REVOKE_TITLE_INTERACTION_ACCEPT_SETUP;Title Revoked;;;;;;;;;;;Òèòóë îòîçâàí;;x
REVOKE_TITLE_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§! refused the revocation of §Y[ThirdPartyTitle.GetFullName]§!, requested by §Y[Actor.GetBestName]§!;;;;;;;;;;;§Y[Recipient.GetBestName]§W ðåøèë[Recipient.GetEndA] íå îòêàçûâàòüñÿ îò çåìåëüíîãî òèòóëà §Y[ThirdPartyTitle.GetFullName]§W, èãíîðèðóÿ çàïðîñ, êîòîðûé îòïðàâèë[Actor.GetEndA] [Recipient.GetHerHim] §Y[Actor.GetBestName]§W.;;x
REVOKE_TITLE_INTERACTION_DECLINE_SETUP;Title Revocation Refused;;;;;;;;;;;Ïðåäëîæåíèå îòêàçàòüñÿ îò òèòóëà îòêëîíåíî.;;x
REVOKE_TITLE_INTERACTION_DESC;Revoke a landed title from a character;;;;;;;;;;;Ïðèñâîèòü ÷óæîé òèòóë è çåìëþ ñåáå;;x
REVOKE_TITLE_INTERACTION_LARGE_NOMAD;Since this ruler has a larger realm than us we can revoke some of their land with just cause.;;;;;;;;;;;Ó ýòîãî ïðàâèòåëÿ áîëüøå çåìåëü ÷åì ó íàñ, ïîýòîìó ìû ìîæåì îòîáðàòü èõ.;;x
REVOKE_TITLE_INTERACTION_LETTER;We have decided to immediately revoke your title as [ThirdPartyTitle.GetFullName]. Failure to hand it over peacefully will lead to war.;;;;;;;;;;;"Ìû ðåøèëè íåìåäëåííî îòîçâàòü Âàø çåìåëüíûé òèòóë ""[ThirdPartyTitle.GetFullName]"". Îòêàç äîáðîâîëüíî ïåðåäàòü åãî ïðèâåä¸ò ê âîéíå.";;x
REVOKE_TITLE_INTERACTION_LONG_DESC;Revoke a title from one of your vassals. It will infuriate the vassal, and, unless you have a claim on the title, will cost you Prestige and anger your other vassals too.;;;;;;;;;;;Ïðèñâîèòü òèòóë, îòîçâàâ åãî ó îäíîãî èç Âàøèõ âàññàëîâ, îí áóäåò âíå ñåáÿ îò ÿðîñòè. Åñëè ó Âàñ íåò íà ýòîò òèòóë çàêîííûõ ïðåòåíçèé, ïîñòðàäàåò Âàø ïðåñòèæ, à äðóãèå âàññàëû áóäóò íåäîâîëüíû.;;x
REVOKE_TITLE_INTERACTION_SHORT_DESC;Revoke §Y[ThirdPartyTitle.GetFullName]§! from §Y[Recipient.GetTitledFirstName]§!;;;;;;;;;;;Îòîçâàòü òèòóë §Y[ThirdPartyTitle.GetFullName]§! ó ÷åëîâåêà ïî èìåíè §Y[Recipient.GetTitledFirstName]§!;;x
REVOKE_TITLE_INTERACTION_TITLE;Revoke Title;;;;;;;;;;;Îòîçâàòü òèòóë;;x
REVOKE_TITLE_INTERACTION_VOTE;§Y[Actor.GetTitledName]§! revoked a landed title from §Y[Recipient.GetTitledName]§!;;;;;;;;;;;§Y[Actor.GetTitledName]§! îòçîâ¸ò çåìåëüíûé òèòóë, êîòîðîãî ëèøèòñÿ §Y[Recipient.GetTitledName]§!;;x
REVOKE_TITLE_TOOLTIP;Revoke the title of §Y$TITLE$§! from §Y$HOLDER$§!;;;;;;;;;;;Îòîçâàòü òèòóë ó åãî îáëàäàòåëÿ, èçâåñòíîãî êàê §Y$HOLDER$§!. §Y$TITLE$§! ïåðåéäåò ê Âàì.;;x
REVOKE_VOTER_TITLE_INTERACTION_0;Select a title to revoke from §Y[Recipient.GetTitledFirstName]§!.;;;;;;;;;;;Âûáðàòü òèòóë, êîòîðîãî ëèøèòüñÿ §Y[Recipient.GetTitledFirstName]§!.;;x
REVOKE_VOTER_TITLE_INTERACTION_1;Revoke the title of §Y[ThirdPartyTitle.GetFullName]§! from §Y[Recipient.GetTitledFirstName]§!.;;;;;;;;;;;Îòîçâàòü òèòóë §Y[ThirdPartyTitle.GetFullName]§!, §Y[Recipient.GetTitledFirstName]§! ëèøèòüñÿ åãî.;;x
REVOKE_VOTER_TITLE_INTERACTION_2;This will change [Recipient.GetPossPronoun] opinion of you by §R$OPINION|+$§!.;;;;;;;;;;;Ýòî óõóäøèò [Recipient.GetAbsPossPronoun] ìíåíèå î Âàñ íà §R$OPINION|+$§!.;;x
REVOKE_VOTER_TITLE_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! revoked the title of §Y[ThirdPartyTitle.GetFullName]§! from §Y[Recipient.GetBestName]§!, dismissing [Recipient.GetHerHim] from the council;;;;;;;;;;;§Y[Actor.GetBestName]§! îáúÿâèë[Actor.GetEndA], ÷òî §Y[Recipient.GetBestName]§! áîëüøå íå §Y[ThirdPartyTitle.GetFullName]§!, óâîëèâ [Recipient.GetHersHis] èç ñâîåãî ñîâåòà.;;x
REVOKE_VOTER_TITLE_INTERACTION_ACCEPT_SETUP;Councillor fired;;;;;;;;;;;Ñîâåòíèê óâîëåí;;x
REVOKE_VOTER_TITLE_INTERACTION_DESC;Fire a character from your council;;;;;;;;;;;Óâîëèòü ÷åëîâåêà èç ñâîåãî ñîâåòà;;x
REVOKE_VOTER_TITLE_INTERACTION_LONG_DESC;You can revoke a Councillor title from a character, thus removing them from the Council.;;;;;;;;;;;Âû ìîæåòå îòîçâàòü òèòóë ñîâåòíèêà ó ÷åëîâåêà, ÷òî èñêëþ÷èò åãî èç Âàøåãî ñîâåòà.;;x
REVOKE_VOTER_TITLE_INTERACTION_TITLE;Fire Councillor;;;;;;;;;;;Óâîëèòü èç ñîâåòà;;x
SEND_ASSASSIN_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! is rumored to be involved in an assassination attempt on §Y[Recipient.GetBestName]§!;;;;;;;;;;;Ïî ñëóõàì, §Y[Actor.GetBestName]§W èìååò îòíîøåíèå ê ïîïûòêå óáèéñòâà, öåëüþ êîòîðîãî ÿâëÿåòñÿ §Y[Recipient.GetBestName]§W;;x
SEND_ASSASSIN_INTERACTION_ACCEPT_SETUP;Assassination Attempted;;;;;;;;;;;Ïðåäïðèíÿòà ïîïûòêà óáèéñòâà;;x
SEND_ASSASSIN_INTERACTION_DESC;Attempt to assassinate §Y[Recipient.GetBestName]§! for §Y$GOLD$§!¤. We have a §Y$CHANCE$%§! chance of success and a §Y$DISC$%§! chance of being discovered. §RIf I am discovered, it will be a black stain on my honor.§!;;;;;;;;;;;Ïîïûòêà óáèéñòâà çà §Y$GOLD$§!¤, öåëü - §Y[Recipient.GetBestName]§!. Èìååòñÿ §Y$CHANCE$%§W øàíñ íà óñïåõ è §Y$DISC$%§W øàíñ ðàñêðûòèÿ óáèéñòâà. §RÅñëè ìîé çàìûñåë áóäåò ðàñêðûò, ýòî ñåðü¸çíî çàïÿòíàåò ìîþ ðåïóòàöèþ.§W;;x
