EVTTITLE23212;The Legend of [Root.GetFirstNameWithNick];;;;;;;;;;;Ëåãåíäà î [Root.GetFirstNameWithNick];;x
EVTDESCNHF23025;After making the proper calculations, I have determined that I was born under the sign of the Virgo, a constellation commonly associated with diligence and humility.;;;;;;;;;;;Ïðîâåäÿ íåîáõîäèìûå âû÷èñëåíèÿ, ìíå óäàëîñü îïðåäåëèòü, ÷òî ÿ áûë[Root.GetEndA] ðîæäåí[Root.GetEndA] ïîä çíàêîì Äåâû, ÷òî îáû÷íî àññîöèèðóþò ñ ïðèëåæíîñòüþ è ñêðîìíîñòüþ.;;x
EVTDESCNHF23761;[From.GetTitledFirstName] has been so courteous as to share some of [From.GetHerHis] most prized books and scarce time to help me refine my research method. I was amazed by the level of accuracy and care with which my [GetFromRelation] handled our collective studying sessions, and I have undoubtedly learned a lot by watching [From.GetHerHim].;;;;;;;;;;;[From.GetTitledFirstName] áûë[From.GetEndA] òàê ëþáåç[From.GetNaEn], ÷òî ïîäåëè[From.GetLasLsya] íåêîòîðûìè èç [From.GetHerHis] ñàìûõ öåííûõ êíèã è ñêóäíûì âðåìåíåì, ÷òîáû ïîìî÷ü ìíå óñîâåðøåíñòâîâàòü ìîé ìåòîä èññëåäîâàíèÿ. ß áûë[Root.GetEndA] ïîðàæåí[Root.GetEndA] óðîâíåì òî÷íîñòè è òùàòåëüíîñòè, ñ êîòîðûìè ì[From.GetOyaOy] [From.GetRootRelation] ïðîâîäèë[From.GetEndA] íàøè ñîâìåñòíûå çàíÿòèÿ, è ÿ, íåñîìíåííî, ìíîãîìó íàó÷è[From.GetLasLsya], íàáëþäàÿ çà í[From.GetEyIm].;;x
EVTDESCNHF23762;The sudden slam of my head against the open book brutally brings me back to my senses. I look around in the library, with a mix of confusion and embarrassment, and meet the disappointed gaze of [From.GetTitledFirstName]. My [GetFromRelation] was hoping to help refine my research method, but, unfortunately, I have proven to not be a student worthy of [From.GetHerHis] attention.;;;;;;;;;;;Âíåçàïíûé óäàð ãîëîâîé îá ðàñêðûòóþ êíèãó æåñòîêî ïðèâîäèò ìåíÿ â ÷óâñòâî. ß îãëÿäûâàþñü â áèáëèîòåêå ñî ñìåñüþ ðàñòåðÿííîñòè è ñìóùåíèÿ è âñòðå÷àþ ðàçî÷àðîâàííûé âçãëÿä [From.GetTitledFirstName]. Ì[From.GetOyaOy] [From.GetRootRelation] íàäåÿ[From.GetLasLsya] ïîìî÷ü óñîâåðøåíñòâîâàòü ìîé ìåòîä èññëåäîâàíèÿ, íî, ê ñîæàëåíèþ, ÿ îêàçûâàþñü íå ò[Root.GetOyEm] ñòóäåíò[Root.GetKoyOm], êîòîð[Root.GetAyaYy] äîñòîèí[Root.GetAyaYy] [From.GetHerHis] âíèìàíèÿ.;;x
EVTDESCZHF23008;[Root.GetHaruspexName] cuts the prisoner open. While the [potential_victim.GetManWoman]'s heart is immolated, the diviner starts rummaging through [potential_victim.GetHerHis] entrails. The response is quite clear: The gods favor our cause in the war to come! The troops will fight with renewed strength now that they now for sure that our victory has been ordained from the heavens.;;;;;;;;;;;[Root.GetHaruspexName] ñäåëàë[Root.GetHaruspexEndA] øèðîêèé íàäðåç ðèòóàëüíûì íîæîì. Ïîêà ñåðäöå óçíè[potential_victim.GetTsuKa] ãîðåëî â îãíå, ïðîðèöàòåëü[Root.GetHaruspexEndNitsa] ðû[Root.GetHaruspexLasLsya] â [potential_victim.GetHersHis] âíóòðåííîñòÿõ. Îòâåò ñîâåðøåííî ÿñåí: áîãè áëàãîâîëÿò íàøåìó äåëó â ãðÿäóùåé âîéíå! Âîéñêà áóäóò ñðàæàòüñÿ ñ íîâîé ñèëîé, âåäü òåïåðü îíè óâåðåíû, ÷òî íàøà ïîáåäà ïðåäíà÷åðòàíà íåáåñàìè.;;x
EVTDESCZHF23009;[Root.GetHaruspexName] cuts the prisoner open. While the [potential_victim.GetManWoman]'s heart is immolated, the diviner starts rummaging through [potential_victim.GetHerHis] entrails. The signs are not entirely clear, but the diviner assures me that there was no signs of the Fates opposing our war. Our troops will surely be comforted by knowing that the gods are not against them.;;;;;;;;;;;[Root.GetHaruspexName] ñäåëàë[Root.GetHaruspexEndA] øèðîêèé íàäðåç ðèòóàëüíûì íîæîì. Ïîêà ñåðäöå óçíè[potential_victim.GetTsuKa] ãîðåëî â îãíå, ïðîðèöàòåëü[Root.GetHaruspexEndNitsa] ðû[Root.GetHaruspexLasLsya] â [potential_victim.GetHersHis] âíóòðåííîñòÿõ. Çíàêè íå ñîâñåì ÿñíû, íî ïðîðèöàòåëü[Root.GetHaruspexEndNitsa] óâåðÿåò ìåíÿ, ÷òî íå áûëî íèêàêèõ ïðèçíàêîâ òîãî, ÷òî Ñóäüáà ïðîòèâèòñÿ íàøåé âîéíå. Íàøè âîéñêà, íåñîìíåííî, óòåøàòñÿ, çíàÿ, ÷òî áîãè íå ïðîòèâ íèõ.;;x
EVTDESCZHF23010;[Root.GetHaruspexName] cuts the prisoner open. While the [potential_victim.GetManWoman]'s heart is immolated, the diviner starts rummaging through [potential_victim.GetHerHis] entrails. Unfortunately, the response from the diviner is not as positive as I hoped. There are clear signs that the gods are not in favor of this war. This news will not be good for morale...;;;;;;;;;;;[Root.GetHaruspexName] ñäåëàë[Root.GetHaruspexEndA] øèðîêèé íàäðåç ðèòóàëüíûì íîæîì. Ïîêà ñåðäöå óçíè[potential_victim.GetTsuKa] ãîðåëî â îãíå, ïðîðèöàòåëü[Root.GetHaruspexEndNitsa] ðû[Root.GetHaruspexLasLsya] â [potential_victim.GetHersHis] âíóòðåííîñòÿõ. Ê ñîæàëåíèþ, îòâåò íå òàêîé ïîëîæèòåëüíûé, êàê ÿ íàäåÿ[Root.GetLasLsya]. Åñòü ÿâíûå ïðèçíàêè òîãî, ÷òî áîãè íå îäîáðÿþò ýòó âîéíó. Ýòà íîâîñòü íå ïîäíèìåò áîåâîé äóõ.;;x
EVTDESCZHF23011;[Root.GetHaruspexName] cuts the prisoner open. While the [potential_victim.GetManWoman]'s heart is immolated, the diviner starts rummaging through [potential_victim.GetHerHis] entrails. The response is terrible. Not only are the gods against us in this war but, according to the signs interpreted by the diviner, they seem to be favoring our enemies!;;;;;;;;;;;[Root.GetHaruspexName] ñäåëàë[Root.GetHaruspexEndA] øèðîêèé íàäðåç ðèòóàëüíûì íîæîì. Ïîêà ñåðäöå óçíè[potential_victim.GetTsuKa] ãîðåëî â îãíå, ïðîðèöàòåëü[Root.GetHaruspexEndNitsa] ðû[Root.GetHaruspexLasLsya] â [potential_victim.GetHersHis] âíóòðåííîñòÿõ. Ðåàêöèÿ áûëà óæàñíà. Ìàëî òîãî, ÷òî áîãè ïðîòèâ íàñ â ýòîé âîéíå, íî, ñóäÿ ïî çíàìåíèÿì, èñòîëêîâàííûì ïðîðèöàòåë[Root.GetHaruspexSoftNitseyEm], îíè áëàãîâîëÿò íàøèì âðàãàì!;;x
EVTOPTAHF23001;How terrible!;;;;;;;;;;;Êàêîé êîøìàð!;;x
EVTOPTAHF23002;Let this sacrifice appease you, almighty creators!;;;;;;;;;;;Ïóñòü ýòà æåðòâà óòîëèò âàñ, âñåìîãóùèå ñîçäàòåëè!;;x
EVTOPTAHF23003;I wish to know more about Christianity.;;;;;;;;;;;ß õî÷ó áîëüøå óçíàòü î [_õðèñòèàíñòâå].;;x
EVTOPTAHF23003_ALT;I wish to know more about the [christian.GetGroupName] religions.;;;;;;;;;;;ß õî÷ó áîëüøå óçíàòü î [_õðèñòèàíñòâå].;;x
EVTOPTAHF23004;The duality of Zoroastrianism is intriguing.;;;;;;;;;;;Äâîéñòâåííîñòü çîðîàñòðèçìà èíòðèãóåò ìåíÿ.;;x
EVTOPTAHF23004_ALT;The mysteries of [zoroastrian_group.GetGroupName] faiths are intriguing.;;;;;;;;;;;Òàéíû [_çîðîàñòðèçìà] èíòðèãóþò ìåíÿ.;;x
EVTOPTAHF23007;I bring a mighty bull to lead our victory!;;;;;;;;;;;— ß ïðèíåñó ìîãó÷åãî áûêà, ÷òîáû îí âîçãëàâèë íàøó ïîáåäó!;;x
EVTOPTAHF23008;To war!;;;;;;;;;;;— Íà âîéíó!;;x
EVTOPTAHF23009;To war!;;;;;;;;;;;— Íà âîéíó!;;x
EVTOPTAHF23011;How could this be?!;;;;;;;;;;;— Êàê ýòî ìîãëî ïðîèçîéòè?!;;x
EVTOPTAHF23016;I am a Syncretist!;;;;;;;;;;;Ñèíêðåòèçì;;x
EVTOPTAHF23017;Syncretism is the way!;;;;;;;;;;;Ñèíêðåòèçì - âåðíûé ïóòü.;;x
EVTOPTAHF23021;It must be true!;;;;;;;;;;;Ýòî äîëæíî áûòü ïðàâäîé!;;x
EVTOPTAHF23022;So what? Astrology is nothing but superstition.;;;;;;;;;;;È ÷òî? Àñòðîëîãèÿ - âñåãî ëèøü ñóåâåðèå.;;x
EVTOPTAHF23023;I should not let the stars rule over me!;;;;;;;;;;;ß íå ïîçâîëþ çâ¸çäàì óïðàâëÿòü ìíîé!;;x
EVTOPTAHF23024;I must look up to see what is inside me.;;;;;;;;;;;Ìíå íóæíî ñìîòðåòü íà íåáî, ÷òîáû ëó÷øå ïîíÿòü ñåáÿ.;;x
EVTOPTAHF23025;Truly, the stars know my heart.;;;;;;;;;;;Âîèñòèíó, çâ¸çäû çíàþò ìîþ äóøó.;;x
EVTOPTAHF23026;I wish to know more about these strange gods they worshiped...;;;;;;;;;;;Õî÷ó çíàòü áîëüøå îá ýòèõ ñòðàííûõ áîãàõ, êîòîðûì îíè ïîêëîíÿëèñü.;;x
EVTOPTAHF23027;What a pity.;;;;;;;;;;;Êàê æàëü.;;x
EVTOPTAHF23028;What if *they* are the real gods?;;;;;;;;;;;À ÷òî åñëè *îíè* è åñòü íàñòîÿùèå áîãè?;;x
EVTOPTAHF23029;My studies have paid off.;;;;;;;;;;;Ìîÿ ó÷¸áà ïðèíåñëà ïëîäû.;;x
EVTOPTAHF23030;My studies have paid off.;;;;;;;;;;;Ìîÿ ó÷¸áà ïðèíåñëà ïëîäû.;;x
EVTOPTAHF23031;My studies have paid off.;;;;;;;;;;;Ìîÿ ó÷¸áà ïðèíåñëà ïëîäû.;;x
EVTOPTAHF23101_A;It has to be done.;;;;;;;;;;;Ýòî äîëæíî áûòü ñäåëàíî.;;x
EVTOPTAHF23101_B;I must rid the city of any lingering Christian influence.;;;;;;;;;;;Ïîðà èçáàâèòü ãîðîä îò îñòàòêîâ [õðèñòèàí]ñêîãî âëèÿíèÿ.;;x
EVTOPTAHF23101_C;Let it all *burn*!;;;;;;;;;;;Ïóñòü âñå *ñãîðÿò*!;;x
EVTOPTAHF23102_A;A necessary sacrifice.;;;;;;;;;;;Ýòî íåîáõîäèìàÿ æåðòâà.;;x
EVTOPTAHF23102_B;The wailing of Christians does not concern me.;;;;;;;;;;;Íûòü¸ [_õðèñòèàí] ìåíÿ íå âîëíóåò.;;x
EVTOPTAHF23102_C;Galileans will be the ones to burn for a change...;;;;;;;;;;;Ãàëèëåÿíå áóäóò ñîææåíû, äëÿ ðàçíîîáðàçèÿ...;;x
EVTOPTAHF23103_A;[From.GetTitledFirstName] is forever damned by this act!;;;;;;;;;;;Òåïåðü [From.GetSheHe] íàâåêè ïðîêëÿò[From.GetEndA]!;;x
EVTOPTAHF23103_B;The burning of Christian temples is of no concern to us.;;;;;;;;;;;Ñîææåíèå [õðèñòèàí]ñêèõ õðàìîâ íàñ íå êàñàåòñÿ.;;x
EVTOPTAHF23103_C;It is time somebody rectified the failings of our ancestors...;;;;;;;;;;;Ïðèøëî âðåìÿ èñïðàâèòü îøèáêè íàøèõ ïðåäêîâ...;;x
EVTOPTAHF23104;How unfortunate.;;;;;;;;;;;Êàê æàëü.;;x
EVTOPTAHF23106;Christianity led us to our fall...;;;;;;;;;;;Ýòî [GetChristendomOrRandom] ïðèâåëî íàñ ê ïàäåíèþ...;;x
EVTOPTAHF23107;I must act quickly, when people still praise me for restoring the Empire!;;;;;;;;;;;Íàäî äåéñòâîâàòü áûñòðî, ïîêà ïîääàííûå ìåíÿ ïîääåðæèâàþò!;;x
EVTOPTAHF23108;[From.GetSheHeCap] must have gone mad!;;;;;;;;;;;[From.GetSheHeCap] äîëæíî áûòü, ïîòåðÿë[From.GetEndA] ðàçóì!;;x
EVTOPTAHF23111;I must respect Imperial law.;;;;;;;;;;;Ìîé äîëã - óâàæàòü èìïåðñêèé çàêîí.;;x
EVTOPTAHF23112;The old gods will rise from the ashes of the Church!;;;;;;;;;;;Ñòàðûå áîãè âîññòàíóò èç ïåïëà Öåðêâè!;;x
EVTOPTAHF23113;We must rise up and depose this tyrant!;;;;;;;;;;;Ìû äîëæíû âîññòàòü è ñâåðãíóòü òèðàíà!;;x
EVTOPTAHF23114;Death to the tyrant!;;;;;;;;;;;Ñìåðòü òèðàí[scoped_hellenic_emperor.GetUKe]!;;x
EVTOPTAHF23115;To war!;;;;;;;;;;;Ê îðóæèþ!;;x
EVTOPTAHF23116;Traitors, all of them!;;;;;;;;;;;Îíè âñå ïðåäàòåëè!;;x
EVTOPTAHF23117;We have finally been vindicated!;;;;;;;;;;;Íàêîíåö-òî ìû îïðàâäàíû!;;x
EVTOPTAHF23118;Deep down I always believed in [hellenic_pagan.GetHighGodName]!;;;;;;;;;;;Â ãëóáèíå äóøè ÿ âñåãäà âåðèë[Root.GetEndA] â [hellenic_pagan.GetReligionHighGodACC]!;;x
EVTOPTAHF23119_A;Your cult of mediocrity is no longer law.;;;;;;;;;;;Âàø ïîñðåäñòâåííûé êóëüò - áîëüøå íå çàêîí.;;x
EVTOPTAHF23119_B;I care not for the lamentations of infidels.;;;;;;;;;;;Ìíå íåò äåëà äî ïðè÷èòàíèé èíîâåðöåâ.;;x
EVTOPTAHF23119_C;On the contrary, I must be charitable to be virtuous!;;;;;;;;;;;Íàïðîòèâ, ìíå íóæíî ïðîÿâèòü ìèëîñåðäèå. Âî èìÿ äîáðîäåòåëüíîñòè!;;x
EVTOPTAHF23122;Is it such a crime to follow one's instincts?;;;;;;;;;;;Òàê ëè óæ ýòî ïëîõî - ñëåäîâàòü ïðèðîäíûì èíñòèíêòàì?;;x
EVTOPTAHF23123;They shall be a bulwark for civilized society!;;;;;;;;;;;Îíè ñòàíóò îïëîòîì öèâèëèçàöèè!;;x
EVTOPTAHF23200;This temple belongs to one of the Kronid brothers.;;;;;;;;;;;Ýòîò õðàì ïðèíàäëåæèò îäíîìó èç áðàòüåâ Êðîíèäîâ.;;x
EVTOPTAHF23200_TT;Dedicate the temple of §Y[scoped_temple_barony.GetName]§! to one of the three sons of [GetKronosSaturnName]: §Y[GetZeusJupiterName]§!, §Y[GetPoseidonNeptuneName]§!, or §Y[GetHadesPlutoName]§!.;;;;;;;;;;;Ïîñâÿòèòü õðàì §Y[scoped_temple_barony.GetName]§! îäíîìó èç òð¸õ ñûíîâåé [GetKronosSaturnNameGEN]: §Y[GetZeusJupiterNameDAT]§!, §Y[GetPoseidonNeptuneNameDAT]§! èëè §Y[GetHadesPlutoNameDAT]§!.;;x
EVTOPTAHF23201;This shall be [GetZeusJupiterName]'s temple!;;;;;;;;;;;Çäåñü áóäåò õðàì [GetZeusJupiterNameGEN]!;;x
EVTOPTAHF23202;This shall be [GetAthenaMinervaName]'s temple!;;;;;;;;;;;Çäåñü áóäåò õðàì [GetAthenaMinervaNameGEN]!;;x
EVTOPTAHF23203;This shall be [GetHestiaVestaName]'s temple!;;;;;;;;;;;Çäåñü áóäåò õðàì [GetHestiaVestaNameGEN]!;;x
EVTOPTAHF23204;This shall be Apollo's temple!;;;;;;;;;;;Çäåñü áóäåò õðàì Àïîëëîíà!;;x
EVTOPTAHF23207;They will serve the gods in the afterlife!;;;;;;;;;;;Îíè áóäóò ñëóæèòü áîãàì â çàãðîáíîé æèçíè!;;x
EVTOPTAHF23208;Damn them!;;;;;;;;;;;Äà áóäóò îíè ïðîêëÿòû!;;x
EVTOPTAHF23209;I will offer them to the gods. Burn them!;;;;;;;;;;;ß ïðèíåñó èõ â æåðòâó áîãàì. Ñîæãèòå èõ!;;x
EVTOPTAHF23210;Burn it all to the ground! Leave nothing but bones and ashes!;;;;;;;;;;;Ñîæãèòå âñ¸ äîòëà! Îñòàâüòå òîëüêî êîñòè è ïåïåë!;;x
EVTOPTAHF23211;Curses upon them!;;;;;;;;;;;Äà áóäóò îíè ïðîêëÿòû!;;x
EVTOPTAHF23212;I am no mere raider!;;;;;;;;;;;ß íå ïðîñòî íàë¸ò÷è[Root.GetTsaK]!;;x
EVTOPTAHF23213;[From.GetSheHeCap] must be a ruthless warrior.;;;;;;;;;;;[From.GetSheHeCap] äîëæíî áûòü, áåçæàëîñòíûé âîèí.;;x
EVTOPTAHF23214;Perhaps we can come to a better arrangement?;;;;;;;;;;;Âåðîÿòíî, ìû ñìîæåì ïðèéòè ê ëó÷øåìó ñîãëàøåíèþ?;;x
EVTOPTAHF23215;Silly little [scoped_pirate_mercenary.GetManWoman]... I do not need your permission!;;;;;;;;;;;Ãëóï[scoped_pirate_mercenary.GetAyaYy] ìàëåíüê[scoped_pirate_mercenary.GetAyaIy] [scoped_pirate_mercenary.GetManWoman]à... Ìíå íå íóæíî òâî¸ ðàçðåøåíèå!;;x
EVTOPTAHF23216;Never mind, I will just pay you...;;;;;;;;;;;Íåâàæíî, ÿ ïðîñòî âàì çàïëà÷ó...;;x
EVTOPTAHF23217;Very well... Here is your gold.;;;;;;;;;;;Î÷åíü õîðîøî... Âîò âàøå çîëîòî.;;x
EVTOPTAHF23218;I am not to be trifled with.;;;;;;;;;;;Ñî ìíîé øóòêè ïëîõè.;;x
EVTOPTAHF23219;I full assault, from land and sea, will crack their defenses!;;;;;;;;;;;Ïîëíîöåííàÿ àòàêà ñ ñóøè è ìîðÿ ñëîìàåò èõ îáîðîíó!;;x
EVTOPTAHF23220;This was a great victory!;;;;;;;;;;;Ýòî áûëà âåëèêàÿ ïîáåäà!;;x
EVTOPTAHF23221;Curses!;;;;;;;;;;;Ïðîêëÿòüå!;;x
EVTOPTAHF23222;These relics look really shiny...;;;;;;;;;;;Ýòè ðåëèêâèè âûãëÿäÿò äåéñòâèòåëüíî áëåñòÿùèìè...;;x
EVTOPTAHF23223;We will be more direct next time...;;;;;;;;;;;Â ñëåäóþùèé ðàç ìû áóäåì áîëåå îòêðîâåííû...;;x
EVTOPTAHF23224;All in a good night's work!;;;;;;;;;;;Âñåì óäà÷è â íî÷íîé ðàáîòå!;;x
EVTOPTAHF23225;This was just a waste of time...;;;;;;;;;;;Ýòî áûëà ïóñòàÿ òðàòà âðåìåíè...;;x
EVTOPTAHF23226;Outstanding!;;;;;;;;;;;Âåëèêîëåïíî!;;x
EVTOPTAHF23227;How can this be?;;;;;;;;;;;Êàê òàêîå âîçìîæíî?;;x
EVTOPTAHF23400;There must be a better interpretation to these signs...;;;;;;;;;;;Ó ýòèõ çíàêîâ äîëæíî áûòü ëó÷øåå òîëêîâàíèå...;;x
EVTOPTAHF23401;I will make a great offering to protect my realm!;;;;;;;;;;;ß ñäåëàþ áîëüøîå æåðòâîïðèíîøåíèå, ÷òîáû çàùèòèòü ñâîè âëàäåíèÿ!;;x
EVTOPTAHF23402;Gltch..!;;;;;;;;;;;×òî çà..!;;x
EVTOPTAHF23403;How disturbing!;;;;;;;;;;;Êàê òðåâîæíî!;;x
EVTOPTAHF23404;I must tell everyone!;;;;;;;;;;;ß äîëæ[Root.GetNaEn] ðàññêàçàòü âñåì!;;x
EVTOPTAHF23405;A great sacrifice should endear us to the heavenly powers!;;;;;;;;;;;Ùåäðîå ïîæåðòâîâàíèå äîëæíî ðàñïîëîæèòü íåáåñíûå ñèëû ê íàì!;;x
EVTOPTAHF23406;Gltch..!;;;;;;;;;;;×òî çà..!;;x
EVTOPTAHF23411;Do not bother yourselves. I can learn the future by eating them!;;;;;;;;;;;Íå óòðóæäàéòå ñåáÿ. ß ìîãó óçíàòü áóäóùåå, ñúåâ èõ!;;x
EVTOPTAHF23412;Wonderful!;;;;;;;;;;;×óäåñíî!;;x
EVTOPTAHF23413;I feel better than ever!;;;;;;;;;;;ß ÷óâñòâóþ ñåáÿ ëó÷øå, ÷åì êîãäà-ëèáî!;;x
EVTOPTAHF23414;I feel better than ever!;;;;;;;;;;;ß ÷óâñòâóþ ñåáÿ ëó÷øå, ÷åì êîãäà-ëèáî!;;x
EVTOPTAHF23415;Begone! This is my body!;;;;;;;;;;;Ïðî÷ü! Ýòî ìî¸ òåëî!;;x
EVTOPTAHF23416;Marvelous! We shall inform the troops at once!;;;;;;;;;;;×óäåñíî! Ìû íåìåäëåííî ñîîáùèì âîéñêàì!;;x
EVTOPTAHF23417;I will heed the gods' warning!;;;;;;;;;;;ß ïðèñëóøàþñü ê ïðåäóïðåæäåíèþ áîãîâ!;;x
EVTOPTAHF23418;I shall put them to good use.;;;;;;;;;;;ß íàéäó èì õîðîøåå ïðèìåíåíèå.;;x
EVTOPTAHF23419;The gods are merciful!;;;;;;;;;;;Áîãè ìèëîñåðäíû!;;x
EVTOPTAHF23420;What a waste of time.;;;;;;;;;;;Ïóñòàÿ òðàòà âðåìåíè.;;x
EVTOPTAHF23421;No! How could this be?!;;;;;;;;;;;Íåò! Êàê ýòî ìîãëî ïðîèçîéòè?!;;x
EVTOPTAHF23422;I am the chosen one!;;;;;;;;;;;ß - èçáðàíí[Root.GetAyaYy]!;;x
EVTOPTAHF23431;It needs to be done.;;;;;;;;;;;Ýòî äîëæíî áûòü ñäåëàíî.;;x
EVTOPTAHF23432;The immortals must be appeased!;;;;;;;;;;;Áåññìåðòíûå äîëæíû áûòü óìèðîòâîðåíû!;;x
EVTOPTAHF23433;The gods demand more blood!;;;;;;;;;;;Áîãè òðåáóþò áîëüøå êðîâè!;;x
EVTOPTAHF23434;Souls and Blood!;;;;;;;;;;;Äóøè è êðîâü!;;x
EVTOPTAHF23435;Gruesome, yet effective.;;;;;;;;;;;Æóòêî, íî ýôôåêòèâíî.;;x
EVTOPTAHF23440;Let the preparations begin!;;;;;;;;;;;Äà íà÷íóòñÿ ïðèãîòîâëåíèÿ!;;x
EVTOPTAHF23441;How exciting! I will come for sure!;;;;;;;;;;;Êàê èíòåðåñíî! ß îáÿçàòåëüíî ïðèåäó!;;x
EVTOPTAHF23443;Get me the toughest of our prisoners.;;;;;;;;;;;Ïðèâåäèòå êî ìíå ñàìîãî êðåïêîãî èç íàøèõ çàêëþ÷¸ííûõ.;;x
EVTOPTAHF23444;Finally!;;;;;;;;;;;Íàêîíåö-òî!;;x
EVTOPTAHF23445;I will make a potion to give [my_blood_contender.GetHerHim] strength and courage!;;;;;;;;;;;ß ïðèãîòîâëþ çåëüå, êîòîðîå ïðèäàñò [my_blood_contender.GetTitledFirstName] ñèëó è ìóæåñòâî!;;x
EVTOPTAHF23447;Herm... You! You there! You will fight for the gods!;;;;;;;;;;;Ýé... Òû! Òû òàì! Òû áóäåøü ñðàæàòüñÿ âî ñëàâó áîãîâ!;;x
EVTOPTAHF23449;Herm... You! You there! You will fight for the gods!;;;;;;;;;;;Ýé... Òû! Òû òàì! Òû áóäåøü ñðàæàòüñÿ âî ñëàâó áîãîâ!;;x
EVTOPTAHF23451;Oh, well...;;;;;;;;;;;À, ëàäíî...;;x
EVTOPTAHF23452;Let the blood start flowing!;;;;;;;;;;;Ïóñòü ïîòå÷¸ò êðîâü!;;x
EVTOPTAHF23453;Let the blood start flowing!;;;;;;;;;;;Ïóñòü íà÷í¸òñÿ êðîâîïðîëèòèå!;;x
EVTOPTAHF23454;More blood for the gods!;;;;;;;;;;;Åù¸ áîëüøå êðîâè äëÿ áîãîâ!;;x
EVTOPTAHF23455;I won!;;;;;;;;;;;ß ïîáåäèë[Root.GetEndA]!;;x
EVTOPTAHF23456;No! Noooo!;;;;;;;;;;;Íåò! Íååååò!;;x
EVTOPTAHF23457;I knew [From.GetSheHe] was the chosen one!;;;;;;;;;;;ß çíàë[Root.GetEndA], ÷òî [From.GetSheHe] áûë[From.GetEndA] èçáðàíí[From.GetOyYm]!;;x
EVTOPTAHF23458;No more meaningless deaths!;;;;;;;;;;;Áîëüøå íèêàêèõ áåññìûñëåííûõ ñìåðòåé!;;x
EVTOPTAHF23459;Blasphemy! The gods will curse [From.GetHerHim]!;;;;;;;;;;;Áîãîõóëüñòâî! Áîãè ïðîêëÿíóò [From.GetHerHis]!;;x
EVTOPTAHF23460;I knew [From.GetSheHe] was the chosen one!;;;;;;;;;;;ß çíàë[Root.GetEndA], ÷òî [From.GetSheHe] áûë[From.GetEndA] èçáðàíí[From.GetOyYm]!;;x
EVTOPTAHF23462;All of [Root.PrimaryTitle.GetName] will run with blood!;;;;;;;;;;;Âñå çåìëè [Root.PrimaryTitle.GetName] áóäóò îìûòû êðîâüþ!;;x
EVTOPTAHF23463;To battle!;;;;;;;;;;;Â áîé!;;x
EVTOPTAHF23464;Aren't our enemies killing enough people already?;;;;;;;;;;;Ðàçâå íàøè âðàãè óæå íå óáèëè äîñòàòî÷íî ëþäåé?;;x
EVTOPTAHF23465;What if the gods listened to [From.GetHerHim]?;;;;;;;;;;;×òî åñëè áîãè ïðèñëóøàþòñÿ ê í[From.GetHerHim]?;;x
EVTOPTAHF23470;Shield us from harm!;;;;;;;;;;;Çàùèòèòå íàñ îò áåä!;;x
EVTOPTAHF23471;The old gods still protect us!;;;;;;;;;;;Ñòàðûå áîãè ïî-ïðåæíåìó çàùèùàþò íàñ!;;x
EVTOPTAHF23473;Destroy it!;;;;;;;;;;;Óíè÷òîæüòå ýòî!;;x
EVTOPTAHF23474;We have been forsaken!;;;;;;;;;;;Íàñ îñòàâèëè!;;x
EVTOPTAHF23476;We can finally rest easy.;;;;;;;;;;;Íàêîíåö-òî ìû ìîæåì ñïîêîéíî îòäîõíóòü.;;x
EVTOPTAHF23477;No! You cannot do this!;;;;;;;;;;;Íåò! Âû íå ìîæåòå ýòî ñäåëàòü!;;x
EVTOPTAHF23652;How charming!;;;;;;;;;;;Êàê î÷àðîâàòåëüíî!;;x
EVTOPTAHF23751;The stars will reveal the future of my heir!;;;;;;;;;;;Çâ¸çäû ïîêàæóò áóäóùåå ìîåãî íàñëåäíèêà!;;x
EVTOPTAHF23752;You will make me proud, [FromFrom.GetFirstName].;;;;;;;;;;;ß áóäó òîáîé ãîðäèòüñÿ, [FromFrom.GetFirstName].;;x
EVTOPTAHF23753;Marvelous!;;;;;;;;;;;×óäåñíî!;;x
EVTOPTAHF23754;My poor child!;;;;;;;;;;;Ìî¸ áåäíîå äèòÿ!;;x
EVTOPTAHF23755;Whatever will be of [Root.PrimaryTitle.GetName]?!;;;;;;;;;;;×òî áóäåò ñ [Root.PrimaryTitle.GetName]?!;;x
EVTOPTAHF23760;The intricacies of politics can never be truly mastered.;;;;;;;;;;;Õèòðîñïëåòåíèÿ ïîëèòèêè íèêîãäà íå ìîãóò áûòü ïî-íàñòîÿùåìó îñâîåíû.;;x
EVTOPTAHF23761;I have still so much to learn...;;;;;;;;;;;Ìíå åù¸ òàê ìíîãîìó ïðåäñòîèò íàó÷èòüñÿ...;;x
EVTOPTAHF23762;This is simply too much for me.;;;;;;;;;;;Ýòî ïðîñòî ñëèøêîì ìíîãî äëÿ ìåíÿ.;;x
EVTOPTAHF23763;You don't really smell that bad at all!;;;;;;;;;;;Âû íå òàê óæ è ïëîõî ïàõíåòå!;;x
EVTOPTAHF23764;People can be so petty!;;;;;;;;;;;Êàêèìè æå ìåëî÷íûìè áûâàþò ëþäè!;;x
EVTOPTAHF23765;You have nothing to be ashamed of!;;;;;;;;;;;Âàì íå÷åãî ñòûäèòüñÿ!;;x
